stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,5.26,0,0,0,10.51,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,68.35,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,14,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,4,36,2,0,0,0,0,4,5,0,0,8,4,0,1,0,0
 24-34,0,0,0,0,0,0,0,10.67,0,0,0,0,0,0,0,0.82,0,0,1.64,0,0.82,5.75,0,0,1.64,26.27,1.64,0.82,0,0,0,1.64,0,0,0,0,7.39,0,2.46,0,1.64
 36-46,0,0,0,0,0.81,0,0,10.47,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0.81,20.95,0,0,0.81,0,0,0.81,0,0,0,0,5.64,0,0,0,0
 48-58,0,0,0,0,4.02,0,0,6.89,1.72,0.57,0,4.59,0,1.72,0,0,0,0,0,0,1.72,5.16,1.15,0,0.57,12.62,0,0.57,0.57,0,0,0.57,0,0,0.57,0,2.87,0,1.15,0,1.15
 60-70,0,0,0,0,3.93,0,0,6.87,3.93,0,0,6.87,0,0,0,2.94,0,0.98,0,0,0.98,8.83,0,0,0.98,6.87,0,0,0,0,0,1.96,0,0,0.98,0,1.96,0,0.98,0,1.96
 72-82,0,0,0,0,4.91,0,0,11.78,2.94,0,0,5.89,1.96,0,0,0.98,0,0,0.98,0,0.98,7.85,0,0,3.93,8.83,0,0,0,0,0.98,5.89,0,0,0.98,0,0,0,0.98,0,1.96
 84-94,0,0,0,0,25.49,1.06,0,6.37,2.12,0,0,6.37,3.19,0,0,0,1.06,1.06,0,0,1.06,8.5,0,0,2.12,10.62,0,1.06,0,0,0,27.61,0,0,4.25,0,0,0,3.19,0,2.12
 96-106,0,0,0,0,24.04,0,0,8.74,8.74,2.19,0,9.84,4.37,0,0,4.37,1.09,1.09,1.09,0,0,29.51,0,1.09,7.65,8.74,0,2.19,2.19,0,0,42.62,0,0,1.09,0,0,1.09,4.37,0,0
108-118,0,0,0.77,0,16.85,0.77,1.53,9.19,14.55,10.72,0.77,7.66,3.83,0,1.53,4.6,3.06,0,2.3,1.53,1.53,25.28,1.53,0.77,3.83,10.72,0,1.53,0.77,0,0.77,75.06,0,0.77,0,0,0,0,3.06,1.53,1.53
120,0,0,0,0,25.48,0,0,9.8,11.76,5.88,0,1.96,1.96,0,0,1.96,1.96,0,1.96,0,0,21.56,0,0,5.88,21.56,0,0,1.96,0,0,54.87,0,0,5.88,0,0,0,0,0,0
