stage,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,neural,otic,paraxial_mesoderm,periderm,spinal_cord,taste
  5-6,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,7.89,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,34.62,0,3.15,0,0,0
 14-21,0,2,1,0,1,1,1,0,0,0,0,3,0,0,1,1,0
 24-34,0,1.64,0,0,0,0,0.82,0.82,0.82,0.82,0,0.82,0,0,8.21,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,5.64,0,0
 48-58,0,0,0.57,0,0,0,0,0.57,0,0,0,0,0,0,1.15,0.57,0
 60-70,0,1.96,0,0,0,0,0.98,0,1.96,0,0,0.98,0,0,1.96,0,0.98
 72-82,0,0.98,0,0,0,0,0,0,0,0,0,0.98,0.98,0,1.96,0,0
 84-94,0,2.12,0,0,0,0,0,1.06,0,0,1.06,0,1.06,0,5.31,0,0
 96-106,0,1.09,0,0,0,1.09,0,1.09,0,0,0,1.09,1.09,0,4.37,0,2.19
108-118,0,4.6,0,0.77,0,0.77,0,0,0,0,1.53,0.77,0.77,0,4.6,0,0
120,0,3.92,0,1.96,0,0,0,1.96,0,0,0,0,1.96,0,0,0,1.96
