stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,5,0,0,0
 24-34,0.82,1.64,0,0,0.82,0,0,0,0,1.64,0,0,84.55,0,0.82,0,0,0,0,16.42,0,0.82,0
 36-46,0.81,16.92,0,0,1.61,0,0,0,0,0.81,0,0.81,195.78,0,1.61,0,0,0,0,39.48,0,0.81,0
 48-58,0.57,39.59,0.57,0.57,4.59,0,0,0,0.57,2.3,0,0,249.03,0,0.57,0,0,0,0,43.04,0,0,0
 60-70,0,118.76,0.98,0,4.91,0,0,0.98,0,4.91,0,0,406.35,0.98,0.98,0,0,0,0,41.22,0,0,0.98
 72-82,0.98,122.71,0,0,4.91,0.98,0,0,0,5.89,0,0.98,269.96,0,0.98,0,0,0,0,25.52,0,2.94,0
 84-94,2.12,84.96,0,0,4.25,0,1.06,1.06,0,7.43,0,1.06,110.45,0,2.12,0,0,0,0,13.81,0,0,0
 96-106,2.19,51.36,0,0,5.46,0,0,0,2.19,2.19,1.09,0,83.06,0,1.09,1.09,0,1.09,0,3.28,1.09,0,0
108-118,1.53,42.13,0,0,2.3,0,0.77,0.77,0,3.83,0,0,91.92,0,3.83,0,0,0,0,0.77,0,1.53,0
120,3.92,29.4,0,3.92,3.92,3.92,0,0,0,0,0,1.96,80.35,0,3.92,0,0,0,0,3.92,0,0,0
