stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,13.14,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,3,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,2.46,0,0,0,9.85,0.82,0,0,0,0.82,0.82,2.46,0,0
 36-46,0,0,0,0,0.81,0,0.81,1.61,0,0,0.81,0,0,0.81,5.64,0,0.81,0,0,0,0,0.81,0.81,0
 48-58,0,0,0,0,0,0,2.3,0,0,0,0.57,0,0,0,4.59,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,3.93,0.98,0,0,0.98,0,0,0,3.93,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0,4.91,1.96,0,0,2.94,0,0.98,0.98,9.82,0,0,0,0,0.98,0,5.89,0,0.98
 84-94,0,0,1.06,0,0,1.06,1.06,4.25,0,0,2.12,1.06,0,0,6.37,0,1.06,0,0,1.06,0,1.06,0,0
 96-106,0,0,0,0,0,2.19,3.28,2.19,1.09,0,4.37,0,0,0,5.46,0,0,0,0,0,0,1.09,2.19,0
108-118,0,0,0,0,1.53,0.77,2.3,1.53,0,0.77,2.3,0,0,0,3.83,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,1.96,0,0,1.96,0,0,0,9.8,0,0,1.96,0,1.96,0,0,0,0
