stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,226.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,7.89,0,0,0,13.14,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,97.26,2.63,0,0,52.57,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,9.44,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.5,3.15,0,0,40.91,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,1,51,0,0,1,1,0,1,7,1,1,5,21,0,0,2,0,0
 24-34,0,0,0,2.46,0,0,12.31,0,0,0,1.64,0,0,0,0,0,0,0,0,0,12.31,0,5.75,165.81,0,1.64,0.82,0,0,1.64,0,0,2.46,0.82,38.58,0,0,2.46,0,0
 36-46,0,0,0,1.61,0,0,33.84,0,0,0.81,2.42,0,0,0,0,0,0,1.61,0,0,15.31,1.61,0.81,273.12,1.61,4.03,0.81,0,0,1.61,0,0,0,0,50.76,0,0,0,0,0
 48-58,0.57,0,0,0.57,0,0,57.38,0.57,0,0.57,8.03,0,0,0.57,0.57,0.57,0,0,0,0,13.2,0.57,3.44,220.34,0,0.57,0,0,0,0.57,0,0,0,0,45.33,0,0,1.15,0,0.57
 60-70,0,0,0,0.98,0.98,0,106,0.98,0.98,0.98,11.78,0,0,1.96,0,0,0.98,0,0,0,16.69,0,6.87,350.4,0,1.96,0,0,0,0,0,0,0,0,37.3,0,0,1.96,0,0.98
 72-82,0,0,0,3.93,0,0,72.64,0.98,0,1.96,11.78,0.98,0,1.96,0,0,0.98,1.96,0,0,33.38,1.96,1.96,181.61,0,1.96,3.93,0,0,0.98,0,0.98,0,0,14.72,0,0,4.91,0.98,0.98
 84-94,0,0,0,0,0,0,54.16,0,1.06,0,10.62,1.06,0,1.06,1.06,1.06,1.06,0,0,0,16.99,1.06,3.19,112.58,1.06,0,0,0,1.06,4.25,0,0,0,0,18.05,0,0,4.25,0,1.06
 96-106,0,0,0,4.37,0,0,34.97,0,2.19,1.09,10.93,2.19,0,0,0,0,0,0,1.09,0,21.86,2.19,3.28,110.38,0,1.09,4.37,0,0,5.46,0,0,0,0,7.65,1.09,0,2.19,1.09,0
108-118,0,0,0,8.43,1.53,1.53,29.87,0.77,0,0.77,8.43,0.77,0,0,0.77,0,0,0,0.77,0.77,21.45,0,0.77,89.62,0,1.53,1.53,0,0,3.83,0,1.53,0,0,5.36,0,0.77,4.6,0.77,0
120,0,0,0,1.96,0,0,21.56,0,0,0,13.72,0,0,0,0,0,3.92,0,0,0,9.8,0,0,78.39,0,1.96,1.96,0,0,1.96,0,0,0,0,1.96,0,0,1.96,0,0
