stage,axial,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  7-9,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,4.93,0,0,0,0,0,0,0,0,0,8.21,0,0.82,11.49,85.37,0,0,0,0,0,0,4.1,0,0,0
 36-46,0,0,0.81,0,10.47,0,0,0,0,0,0.81,0,0,0,20.95,0,0.81,2.42,192.55,0,0,0,0,0,0,11.28,0,0,0
 48-58,0,0,1.72,0,40.17,0,0,0,1.72,0,0,0,0,0,38.44,0,0,2.87,288.62,1.72,0,0,0,0,0,16.64,0.57,0,0.57
 60-70,0,0,1.96,0.98,120.73,0,0,0.98,0.98,0,3.93,0.98,0,0,41.22,0,0,0,602.65,0,0,0,0,1.96,0,28.46,0.98,0,2.94
 72-82,0,0,5.89,0.98,175.72,0,0.98,0.98,5.89,0,3.93,0,0,0,49.08,0,0,2.94,676.37,0,0,0,0,0,0,9.82,0.98,3.93,0.98
 84-94,0,0,12.74,0,116.82,0,0,2.12,9.56,0,5.31,0,0,0,33.99,0,2.12,0,391.89,0,1.06,0,0,1.06,0,6.37,3.19,4.25,0
 96-106,0,0,5.46,0,76.5,1.09,0,0,7.65,1.09,12.02,0,3.28,1.09,33.88,1.09,3.28,2.19,334.41,0,1.09,0,1.09,2.19,2.19,6.56,1.09,0,0
108-118,0,0,6.13,1.53,65.87,0,0,0.77,3.06,0,4.6,0,0.77,1.53,30.64,0,0,0.77,443.49,0,0,0,0,0.77,0.77,10.72,0.77,0.77,0.77
120,0,0,3.92,1.96,50.95,0,1.96,0,7.84,0,1.96,0,0,0,19.6,0,3.92,1.96,442.91,1.96,1.96,0,0,0,0,9.8,1.96,1.96,0
