stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,25,0,0,2,0,0,1,0,10,0,0,0,0
 24-34,0,0,0.82,0,3.28,0,0,0.82,0,0,0.82,0,0,0,0,4.93,2.46,0,0,0,163.35,0.82,0,1.64,0,0,0.82,0,38.58,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,1.61,0,0,0,0,0,0,0,20.14,0.81,0,0,0.81,244.92,0,0.81,1.61,0,0,0,0,47.53,0,0,0,0
 48-58,0,0,1.15,0,25.25,0,0,5.16,0,0,0.57,0,0,0,0,14.92,9.75,0.57,0.57,1.15,419.45,0,1.72,2.87,0,0,0,0,40.17,0,0,0,0
 60-70,0,0,2.94,0.98,84.41,0,0,28.46,0,0,1.96,0,0.98,0,0,14.72,9.82,0,0,2.94,833.31,0,1.96,0.98,0,0,1.96,0,53,0,0,0,0.98
 72-82,0,0.98,6.87,0.98,174.74,0,0,28.47,0,0,0,0.98,0,0,0,5.89,18.65,0,0.98,0.98,1064.12,0,0.98,4.91,0,0,0.98,0.98,56.94,0,1.96,0,1.96
 84-94,0,1.06,6.37,0,98.77,2.12,1.06,22.3,0,1.06,1.06,0,4.25,0,0,20.18,10.62,1.06,2.12,0,456.68,0,1.06,8.5,0,0,1.06,0,31.86,1.06,2.12,3.19,0
 96-106,0,1.09,5.46,0,84.15,0,0,16.39,0,0,4.37,0,0,0,1.09,17.49,18.58,0,0,3.28,436.05,0,2.19,3.28,0,0,3.28,0,10.93,0,0,0,1.09
108-118,0,1.53,3.83,0,88.09,0.77,0.77,11.49,0,0.77,0.77,0.77,0,0.77,0,24.51,14.55,0,0,0.77,493.28,0.77,0,4.6,0,0.77,1.53,0.77,11.49,2.3,0,0,1.53
120,0,0,15.68,0,90.15,1.96,0,15.68,1.96,0,1.96,0,0,0,0,5.88,17.64,0,0,0,805.47,1.96,0,5.88,0,0,3.92,0,13.72,5.88,1.96,0,0
