stage,epidermis,erythrocytes,eye,fast.muscle,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature
 14-21,0,1,1,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,2,0,0
 24-34,0.82,0,0.82,0,0,0,0,0,0,0,0,1.64,0,0.82,30.37,0.82,0,0.82,0,0.82,4.93,0,0.82
 36-46,0,0.81,5.64,0,0.81,0,0,0,0,0,0,0.81,0,0.81,33.84,0,0,0,0.81,0,9.67,0,0
 48-58,1.15,0,12.62,0,2.87,0.57,0,0,0,0,0,2.3,0,0,28.69,0,0,1.15,0,0,8.03,0,0
 60-70,0.98,0,22.58,0,4.91,0,0,0,0,0,0,0,0,0,30.43,0,0.98,0,0,0,15.7,0,0.98
 72-82,1.96,0,22.58,0,5.89,0,0,0,0,0.98,0,3.93,0,0.98,30.43,0,0,0,0,0,2.94,0,0
 84-94,1.06,0,10.62,0,5.31,0,0,0,0,0,0,4.25,1.06,0,23.36,0,1.06,0,0,0,5.31,0,0
 96-106,1.09,0,9.84,1.09,2.19,0,1.09,0,1.09,0,1.09,1.09,0,0,15.3,1.09,0,1.09,1.09,0,2.19,0,0
108-118,1.53,0,5.36,0,0.77,2.3,0,0.77,0,0.77,0,1.53,0,0.77,16.09,0,0,0.77,0.77,0,2.3,0.77,0
120,1.96,0,13.72,0,1.96,0,0,0,0,0,0,0,0,0,25.48,0,0,3.92,0,0,1.96,0,0
