stage,blastomeres,epidermis,eye,fast_muscle,glial,immune,ionocyte,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord
  5-6,12.26,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,6.29,0,0,3.15,0,0,0
 14-21,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1
 24-34,0,0,0.82,0,0,0,2.46,0.82,3.28,0,0,0,0.82,0.82,0
 36-46,0,0,0,0,0,0,2.42,0.81,0,0.81,0,0,0,0,0.81
 48-58,0,0,1.15,0,0,0,0,1.72,3.44,0,0,0,0,0,1.15
 60-70,0,0,0.98,0,0,0,0,2.94,2.94,0.98,0,0,0,0,0
 72-82,0,0.98,0.98,0,0.98,1.96,0,5.89,4.91,0,1.96,0,0,0,0
 84-94,0,1.06,1.06,0,0,1.06,3.19,1.06,2.12,0,0,0,0,0,0
 96-106,0,0,5.46,0,0,7.65,1.09,0,2.19,0,0,0,0,0,0
108-118,0,0,4.6,0,0.77,9.96,0.77,0,3.83,0,0,0,0,0,0
120,0,0,7.84,1.96,0,5.88,3.92,0,5.88,0,0,0,0,0,0
