stage,eye,fin.epithelia,fin.mesenchyme,gut,mesenchyme,mural.cell,muscle,neural,periderm,spinal.cord,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,1,1,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0.81,0,0,0,0,0,0.81,0,0,0,0
 48-58,1.72,0,0,0,0.57,0,0,0,0,0,0
 60-70,3.93,0,0,0.98,0.98,0,0,0.98,0,0,0
 72-82,9.82,0,0,0,1.96,0,0,5.89,0,0,0
 84-94,6.37,0,0,0,1.06,1.06,0,3.19,2.12,0,0
 96-106,14.21,0,1.09,0,5.46,0,0,2.19,0,0,0
108-118,24.51,0,0,0,2.3,0,0,3.83,0,0,0.77
120,5.88,1.96,0,0,3.92,0,0,3.92,0,0,0
