stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,18.88,0,0,0,0,0,0,0,0
 14-21,0,1,4,1,0,0,0,0,0,0,0,0,0,2,0,23,2,0,0,0,0,0,7,1,5,7,0,0
 24-34,0,0,3.28,0,0,6.57,0.82,0,1.64,0,0,0,0.82,2.46,3.28,64.85,0,0.82,1.64,0,0,0,0,0,0.82,13.13,0,2.46
 36-46,0,0,0,0,0,6.45,0,0,1.61,0,0,0,0,4.03,1.61,30.62,0,0,0,0,0,0.81,0,0,0,5.64,0,0
 48-58,0,0,1.15,0,0,10.9,0,0.57,3.44,0,0,0,0,6.89,0.57,20.66,0,0,0,0,0,0.57,0,0,0,4.02,0,0
 60-70,0,0,3.93,0,0,8.83,0,0,4.91,0,0.98,0,0,6.87,1.96,18.65,0,0,0.98,0,0,0.98,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,5.89,0,0,5.89,0,0,0,0,5.89,0.98,11.78,0,0,0,0,0,0,0,0,0,0.98,0,0.98
 84-94,0,0,1.06,0,0,4.25,0,0,2.12,0,1.06,1.06,0,6.37,2.12,9.56,0,0,0,0,1.06,1.06,0,1.06,0,1.06,0,0
 96-106,0,0,1.09,0,0,5.46,0,0,1.09,0,0,0,0,2.19,0,2.19,0,0,1.09,0,0,1.09,0,0,0,1.09,0,1.09
108-118,0,0,1.53,0,0.77,1.53,0,0,1.53,0.77,0,0,0,1.53,0,4.6,0,0,0,0,0,0.77,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,3.92,0,15.68,0,0,0,0,0,0,0,0,0,0,0,0
