stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,26.36,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.58,0,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,545.54,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,2.63,0,0,15.77,92,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,34.62,15.73,0,0,0,28.32,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,0,1,0,0,0,0,0,8,0,0,1,0,3,4,0,0,1,85,0,0,0,1,1,0,0,0
 24-34,0,0,0,1.64,0,0.82,0,0,1.64,0.82,0,9.03,0,0,0,4.93,11.49,0.82,2.46,0,0,262.67,0,0,0,0,1.64,0,0.82,0
 36-46,0,0,0,0,0,3.22,1.61,0,0,0,0,2.42,0,0,0.81,0.81,4.83,0,0,0,0,303.74,0,0,0,0,1.61,0,0.81,0
 48-58,0,0,0,2.87,0,5.74,0.57,0.57,0.57,0,0,0.57,0.57,0,1.15,1.72,9.18,0,1.15,0,0,150.91,0,0,0.57,0,1.15,0,0,0
 60-70,0,0,0,4.91,0,7.85,2.94,0,0,0,0,0.98,0,0,1.96,1.96,6.87,0,0,0,0,217.9,0,0,0,0,0.98,0,0,0.98
 72-82,0,0,0,6.87,0,13.74,1.96,0.98,0.98,0,0,0.98,0,0,2.94,1.96,5.89,0,0,0,0,177.68,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,13.81,0,16.99,6.37,1.06,1.06,0,0,3.19,0,0,3.19,5.31,5.31,0,0,0,0,456.68,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,1.09,41.53,1.09,14.21,3.28,1.09,3.28,0,1.09,3.28,0,0,2.19,4.37,9.84,0,0,2.19,0,355.18,0,0,0,0,0,1.09,0,0
108-118,0,0,0,33.7,0,26.81,6.89,1.53,7.66,0,0,3.83,0,1.53,1.53,5.36,4.6,0,0,0,0,373.79,0,0,0,0,0.77,0.77,0,0
120,0,0,0,35.28,0,9.8,3.92,0,11.76,0,0,1.96,0,0,0,0,7.84,0,0,0,0,311.61,0,0,0,0,0,5.88,0,0
