stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,0,2,1,57,16,0,17,0,2,0,7,1,4,3,1,5,0,0,0,1,27,1,13,250,9,3,4,4,0,21,51,8,13,66,105,0,0,7,0,1
 24-34,0,0.82,0.82,0,2.46,0,0,3.28,0,0,0,1.64,0,0.82,0,0.82,0,0,0,0,0.82,2.46,1.64,3.28,58.28,0,4.93,0,0,0,2.46,0,0.82,0.82,1.64,18.06,0,0,0.82,0,1.64
 36-46,0,0,0,0,0.81,1.61,0,11.28,0,0.81,0,3.22,0,0,0,0.81,0,0,0,0,0,7.25,0,0.81,83.79,0,4.03,0,0,0,0,0,0,0,0,13.7,0,0,0,0,1.61
 48-58,0,0,0,0,0.57,0,0,25.82,0,0,0,2.87,0,0,0,0,0,0,0,0,0,5.16,0,1.15,32.13,0,3.44,0,0,0,1.15,0,1.15,0,0,10.9,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,46.13,0,0,0,1.96,0,0,0,0,0,0,0,0,0,8.83,0,0,39.26,0,6.87,0,0,0,0.98,0,0,0.98,0,11.78,0,0,1.96,0,0.98
 72-82,0,0,0,0,0.98,4.91,0,28.47,0,0,0.98,1.96,0.98,0,0,0,0,0,1.96,0,0,17.67,0,1.96,24.54,0,4.91,1.96,0,0,2.94,0,0.98,0,0,1.96,0,0.98,1.96,0,1.96
 84-94,0,0,1.06,0,3.19,2.12,0,18.05,0,1.06,0,1.06,0,0,0,1.06,0,0,0,0,0,16.99,0,1.06,13.81,0,4.25,3.19,0,0,6.37,0,1.06,0,0,4.25,1.06,1.06,2.12,0,0
 96-106,0,0,0,0,3.28,7.65,0,27.32,0,0,1.09,6.56,1.09,0,0,4.37,0,2.19,0,1.09,0,10.93,2.19,3.28,21.86,1.09,9.84,5.46,0,2.19,6.56,0,0,0,0,4.37,0,0,4.37,1.09,1.09
108-118,0,0,0.77,0,5.36,1.53,0,31.4,0,0.77,1.53,11.49,1.53,0,0,0,0,0,0.77,0.77,0,26.81,0.77,2.3,50.55,2.3,6.13,0.77,0,0.77,2.3,0,0,0,0,6.13,1.53,0.77,1.53,0,2.3
120,0,0,0,0,5.88,5.88,1.96,39.2,1.96,3.92,1.96,1.96,1.96,0,0,1.96,1.96,0,0,0,0,9.8,3.92,0,31.36,1.96,7.84,1.96,0,0,25.48,0,0,0,0,0,0,0,1.96,0,0
