stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,7,0,1,0,0,0,5,0,1,0,0,0,0,0,0,7,0,8,44,0,0,0,6,0,0,11,0,0,4,21,0,0,0
 24-34,0,0,1.64,2.46,0,3.28,0,0.82,0,1.64,0.82,0,0,0,0,0.82,0,0,10.67,0,3.28,60.74,0,3.28,0.82,0,0,0.82,0,0,0.82,2.46,9.03,0.82,0,0
 36-46,0,0,0,0,0,13.7,0,0,0,1.61,0,0,0,0,0,0,0,0,3.22,0,2.42,48.34,0,0,0,0,0,3.22,0.81,0,0,0,12.89,0,0,0
 48-58,0,0,0,0.57,0,15.49,0.57,0,0,2.3,0,0,0,0,0,0,0,0.57,7.46,0,0,24.67,0,1.15,0.57,0,0,1.15,0,0.57,0,0.57,4.02,0,0,0
 60-70,0,0,0,0,0,12.76,0,0,0,1.96,0,0,0,0,0.98,0,0,0,7.85,0,0.98,24.54,0,0,0,0,0,0.98,0,0,0,0,5.89,0.98,0,0.98
 72-82,0,0,0,0.98,0,15.71,0,0,0,7.85,0.98,0,0,0.98,0,0,0,0,12.76,0.98,1.96,27.49,0,0,0,0,0,1.96,0,0,0,0,3.93,0,0.98,0
 84-94,0,0,0,0,2.12,8.5,0,0,0,6.37,5.31,0,0,0,0,0,1.06,0,3.19,0,0,11.68,1.06,0,0,0,0,0,0,0,0,0,1.06,1.06,0,1.06
 96-106,0,3.28,0,1.09,1.09,5.46,0,0,2.19,4.37,9.84,0,0,0,0,0,0,0,3.28,0,1.09,10.93,1.09,0,1.09,0,0,1.09,0,0,0,0,2.19,0,0,0
108-118,0,0.77,0,0,0,5.36,0,0.77,1.53,4.6,8.43,0,0.77,0.77,0,1.53,0,0,3.83,0,0.77,18.38,0,0.77,0,0,1.53,1.53,0,0,0,0,0,0,0,0
120,0,0,0,0,0,3.92,0,0,0,3.92,7.84,0,0,0,0,0,0,0,5.88,0,0,9.8,0,3.92,0,0,0,1.96,0,0,0,0,0,0,0,0
