stage,blastomeres,endoderm,epidermis,eye,glial,heart,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,1,1,1,0,0,1,6,0,2,0,1,0,3,5
 24-34,0,0.82,0.82,0.82,0.82,0,0.82,0,5.75,0.82,0,0.82,0,0,0,0.82
 36-46,0,0,0,0,0,0,1.61,0,1.61,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,0,0.57,1.15,0.57,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,1.09,0,1.09,0,0,1.09,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
