stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,20,2,0,0,0,0,0,0,0,2,8,0,0,0,0,2,1,0,1,7,0,0,1,0,0,4,0,28,1,9,3,0,0,0,0,0
 24-34,0,0,1.64,9.03,0.82,1.64,0,5.75,0,0,0,0,1.64,4.1,0,0,0,0,1.64,0.82,0,2.46,9.03,0,0.82,0,0,0,1.64,0,39.4,0,0,2.46,0,0,1.64,0,0
 36-46,0,0,0,2.42,0,0,0,0.81,0,0,0,1.61,1.61,0,0,0,0,0.81,2.42,0.81,0,0.81,8.06,0,0,0,0,0,0.81,0.81,17.72,0,0,3.22,0,0,0,0,0
 48-58,0,0,0,3.44,0,1.72,1.15,1.72,0.57,0.57,0,0,1.72,0.57,0,0,0,0,2.3,1.72,0,1.15,4.02,0,0,0,0,0,0,0,12.62,0,0,1.72,0,1.15,0,0,0
 60-70,0,0,0,3.93,0,9.82,0.98,1.96,0,3.93,1.96,0,0,1.96,0.98,0.98,0.98,0,1.96,1.96,0.98,0,4.91,0,0,0,0,0,0.98,0,16.69,0,0,0,0,0,0.98,0.98,0
 72-82,0,2.94,1.96,1.96,3.93,16.69,0,0.98,0,2.94,19.63,0,5.89,0,0,0,0,0.98,2.94,0,0.98,0,15.71,0.98,0.98,1.96,0,0,1.96,0,32.39,0,0,0,0,4.91,1.96,8.83,0
 84-94,0,2.12,3.19,7.43,2.12,11.68,0,4.25,1.06,4.25,42.48,0,10.62,0,0,0,0,0,7.43,1.06,7.43,3.19,6.37,1.06,0,1.06,0,0,4.25,0,71.16,0,0,0,0,2.12,2.12,5.31,0
 96-106,0,4.37,6.56,8.74,3.28,19.67,0,2.19,0,4.37,68.85,0,10.93,4.37,0,0,1.09,0,6.56,2.19,5.46,1.09,15.3,0,0,2.19,0,5.46,9.84,0,81.96,0,0,0,0,5.46,1.09,5.46,1.09
108-118,0,2.3,6.13,6.89,2.3,9.96,1.53,2.3,0,2.3,62.81,0,9.19,0.77,0.77,0,0.77,0,9.19,0.77,2.3,0.77,8.43,0.77,1.53,0.77,0,1.53,3.83,0,54.38,0,0,0,1.53,0,3.06,4.6,0.77
120,0,1.96,0,5.88,0,3.92,1.96,1.96,0,1.96,52.91,0,3.92,0,0,1.96,3.92,0,1.96,1.96,0,0,25.48,0,0,0,0,3.92,3.92,0,45.08,0,0,0,0,0,5.88,3.92,0
