stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,434.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,208.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,6.29,0,0,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.26,0,0,0,15.73,0,0,3.15,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,3,38,2,6,0,0,3,2,0,1,0,1,0,0,0,0,8,0,0,5,113,8,1,1,2,0,12,0,8,4,10,43,52,0,0,5,0,0
 24-34,0,0,0,0.82,23.8,1.64,20.52,4.93,0.82,2.46,0,0.82,1.64,1.64,3.28,0,4.93,0,1.64,27.09,0.82,0,12.31,456.4,2.46,10.67,1.64,0,0,80.44,0,0.82,1.64,0.82,4.1,112.46,0,0,28.73,0,3.28
 36-46,0,0,0,0,7.25,0,53.98,0.81,0,20.14,0,0,0,1.61,1.61,0.81,0.81,0.81,0.81,25.78,0,0.81,8.06,783.92,0,16.11,3.22,0,0,87.82,0,0,0.81,0.81,0,175.64,0,0,15.31,0,5.64
 48-58,0,0,0,0,4.59,0,141.73,3.44,2.87,32.13,0.57,1.72,1.15,1.15,1.15,0,1.15,0.57,2.3,49.35,0.57,1.72,8.03,842.92,2.87,7.46,2.3,0,0,47.63,0,0,1.15,0,0,153.21,0,1.15,12.05,0,3.44
 60-70,0,0,0,0,10.8,0,231.64,1.96,3.93,41.22,1.96,0,0.98,2.94,1.96,1.96,0,0,0.98,53.98,0.98,3.93,7.85,1016.86,0.98,8.83,2.94,0,1.96,44.17,0,0,0.98,0,0,139.38,1.96,0,9.82,0.98,7.85
 72-82,0,0,0.98,0,12.76,6.87,258.18,5.89,1.96,40.25,5.89,0,0.98,10.8,0.98,1.96,1.96,1.96,0.98,67.73,2.94,1.96,4.91,832.45,0,11.78,0.98,0,0.98,36.32,0,0,0,0,0,89.33,6.87,2.94,12.76,0,2.94
 84-94,0,0,0,0,19.12,2.12,162.49,8.5,1.06,35.05,10.62,0,1.06,10.62,10.62,6.37,1.06,0,3.19,43.54,4.25,2.12,0,407.82,3.19,4.25,3.19,0,0,126.38,0,0,1.06,0,0,49.92,0,2.12,22.3,3.19,0
 96-106,0,0,3.28,0,18.58,4.37,144.26,3.28,0,28.41,5.46,0,3.28,17.49,4.37,14.21,3.28,0,0,53.55,4.37,3.28,2.19,402.17,0,15.3,5.46,0,0,87.43,0,0,2.19,0,0,16.39,6.56,2.19,17.49,3.28,2.19
108-118,0,0,1.53,0,17.62,1.53,95.75,13.02,1.53,25.28,11.49,0,0,15.32,3.06,6.13,1.53,0.77,3.06,45.19,2.3,3.83,5.36,396.77,0.77,6.89,6.13,0,1.53,78.89,0,0,0.77,0,0,13.02,5.36,0.77,17.62,5.36,4.6
120,1.96,0,3.92,0,23.52,0,97.99,5.88,0,23.52,9.8,0,0,19.6,5.88,3.92,1.96,1.96,0,25.48,3.92,1.96,3.92,437.03,5.88,5.88,7.84,0,3.92,68.59,0,0,0,0,0,17.64,1.96,0,15.68,1.96,5.88
