stage,blastomeres,endocrine.pancreas,eye,glial,mesenchyme,neural,olfactory,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,6,0,2
 24-34,0,0,0,0,0,9.85,0,2.46
 36-46,0,0,3.22,0.81,0,8.06,0,0.81
 48-58,0,0,0.57,0,0,6.31,0,0
 60-70,0,0,0,0,0.98,17.67,0,0
 72-82,0,0,2.94,1.96,0.98,9.82,0,0.98
 84-94,0,0,2.12,0,0,3.19,1.06,1.06
 96-106,0,2.19,2.19,1.09,0,8.74,0,0
108-118,0,0,4.6,1.53,0,6.89,0,0.77
120,0,0,7.84,0,0,15.68,0,0
