stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.35,25.18,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,197,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,0,3,1,1,0,0,1,1,11,0,0,0,0,0
 24-34,0,0,0,0,303.72,0,0,2.46,14.78,0,3.28,0,0,0,0,0,9.03,1.64,4.1,4.93,0,3.28,106.71,0,1.64,3.28,0,16.42,0,1.64,0,0.82,14.78,0,0,0,0,0
 36-46,0,0,0,0,218.34,0,0,8.86,21.75,0,27.39,0,0,0,0,0.81,8.06,0,4.03,2.42,0,0,123.27,0,1.61,2.42,0,16.92,0,0,0,0,33.03,0,0,0.81,0,0.81
 48-58,0,0,0,0,188.21,0,0,12.05,17.79,0.57,66.56,0,0,0,0,0,9.18,0,5.16,1.72,0,0.57,79.19,0,0.57,1.72,0,22.38,0,0,0,0,36.15,0,0,4.59,0,0
 60-70,0,0,0,0,195.32,0,0,9.82,22.58,0,138.39,0,0,0,0.98,1.96,13.74,0.98,6.87,6.87,0,0,49.08,0.98,0,1.96,0,47.11,0,0,0,0,18.65,0,0,6.87,0,0.98
 72-82,0,0,0.98,0,184.55,0,0,17.67,19.63,0.98,191.42,1.96,0.98,0,0,0,23.56,1.96,2.94,2.94,0.98,1.96,51.05,0.98,0.98,1.96,0,79.51,0,0.98,0,0,7.85,1.96,0,12.76,0,0.98
 84-94,0,0,0,1.06,301.62,0,0,27.61,37.17,1.06,116.82,2.12,0,0,2.12,1.06,16.99,1.06,6.37,8.5,0,0,35.05,0,2.12,3.19,0,172.05,0,1.06,0,0,11.68,4.25,1.06,8.5,0,0
 96-106,1.09,0,0,0,298.35,4.37,2.19,24.04,19.67,0,103.82,2.19,0,0,1.09,1.09,25.14,4.37,1.09,3.28,0,2.19,50.27,3.28,4.37,1.09,0,148.63,0,4.37,0,0,2.19,2.19,0,12.02,0,0
108-118,0,0,0,0.77,284.94,0.77,0.77,19.92,29.11,0,98.81,4.6,0,0,3.06,2.3,22.21,9.19,3.83,4.6,0,0,30.64,1.53,0,0,0,101.11,0,2.3,0,0,0.77,0.77,0,7.66,0,0
120,0,0,0,0,233.21,0,0,11.76,25.48,0,78.39,0,0,1.96,0,0,3.92,3.92,1.96,3.92,0,1.96,37.24,0,1.96,0,0,94.07,0,1.96,0,0,0,1.96,0,11.76,3.92,0
