stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,96,0,1,0,0,1,0,1,1,0,1,0,0,0,3,0,0,0,16,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0
 24-34,0,0,0.82,27.91,0,2.46,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0.82,1.64,0,3.28,64.03,0,0,1.64,0,0,0,0,0,1.64,14.78,0,0,1.64,0,0
 36-46,0,0,0,4.83,0,6.45,0,0,1.61,0,0,0.81,0,0,0,0,0.81,4.03,0,0,2.42,121.66,1.61,0,0,0,0,0,0,0,0,20.95,0,0,2.42,0,0
 48-58,0,0,0,1.72,0,38.44,2.3,0,1.72,0,0,0,0,0,0,0,0,8.61,0,0.57,1.15,169.85,0,0,1.72,0,0.57,0,0,0,0,35,0,0,2.87,0,0
 60-70,0,0,0,0.98,0,410.28,1.96,0,2.94,0.98,0,0,0,0,0,0,0,26.5,0,1.96,1.96,339.61,0,0.98,0.98,0,0.98,0.98,0,0,0,52.02,0,1.96,1.96,0,0
 72-82,0,0,0,4.91,0,709.74,1.96,0.98,16.69,1.96,0,1.96,0,0.98,0,0,0,40.25,0,4.91,0,406.41,0,0,0.98,0,0.98,0,0.98,0,0,29.45,0,0,0,0.98,0
 84-94,0,1.06,0,7.43,1.06,515.09,2.12,0,19.12,1.06,0,0,0,0,1.06,1.06,0,29.74,0,1.06,1.06,214.53,1.06,0,2.12,0,1.06,1.06,0,0,0,18.05,0,1.06,0,0,0
 96-106,0,1.09,0,5.46,1.09,472.11,5.46,0,19.67,2.19,0,0,1.09,0,1.09,0,0,25.14,0,3.28,5.46,224.03,0,0,1.09,0,0,0,1.09,1.09,0,13.11,1.09,3.28,1.09,0,0
108-118,0,0,0,7.66,0.77,297.19,6.13,1.53,10.72,0.77,0,0.77,0.77,0,0,0,0,25.28,0.77,1.53,1.53,272.68,0,0,3.06,0,0.77,0.77,0,0,0,8.43,0,0.77,1.53,0,0.77
120,0,1.96,0,1.96,0,174.42,5.88,0,7.84,1.96,0,1.96,0,0,3.92,0,0,17.64,0,0,3.92,254.77,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0,0,0
