stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,2,0,0,0,0,0,0,10,0,0,0
 24-34,9.03,0,0,0,0,1.64,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0.82,0,0,142.83,0,17.24,0,0,0,0.82,0,0,27.91,0,0,0
 36-46,4.83,0,1.61,0,0,18.53,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,435.87,0,20.95,0,0,0,1.61,0,0,60.43,0,0,0
 48-58,2.3,0,2.3,0,0,72.87,0,0,0.57,8.03,0,0,0,0,0,0,0.57,6.31,0.57,0.57,1.15,605.94,0,15.49,0,0,0,1.15,0,0,80.33,0,0,0.57
 60-70,4.91,0,0.98,0,0,125.63,0,0.98,0,18.65,0.98,0,0,0,0,0,1.96,1.96,0.98,0,0.98,782.27,0,16.69,0,0,0,0,0,0,83.43,0,1.96,0
 72-82,13.74,0,1.96,0,0,124.67,0,0,0,28.47,3.93,0,0,0.98,0,0,0,15.71,0,0,0.98,701.89,0,30.43,0.98,0,0,1.96,0.98,0,56.94,0,0,0
 84-94,16.99,0,2.12,1.06,0,77.53,0,0,0,16.99,7.43,1.06,1.06,0,1.06,0,0,7.43,0,1.06,1.06,324.98,1.06,22.3,1.06,0,0,1.06,0,1.06,37.17,0,2.12,0
 96-106,7.65,0,6.56,2.19,0,60.11,0,0,0,13.11,0,0,0,1.09,0,0,0,3.28,1.09,0,2.19,273.21,0,21.86,0,0,0,2.19,0,0,20.76,1.09,0,0
108-118,9.96,0,3.83,1.53,0.77,42.89,0,0,0.77,17.62,6.89,0,0,0,0,0.77,0,3.83,2.3,0,0.77,307.92,0,19.15,1.53,0,0,3.06,0.77,0,6.13,0,0,0
120,0,1.96,9.8,0,0,41.16,3.92,0,1.96,17.64,9.8,0,0,0,0,1.96,0,5.88,0,0,1.96,348.84,0,19.6,1.96,0,1.96,1.96,0,0,7.84,0,0,0
