stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,1133.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,98.07,1115.59,0,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,55.17,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.66,10.51,0,31.54,0,0,0,42.06,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,473.17,15.77,0,0,184.01,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,28.32,0,0,0,25.18,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,415.4,6.29,0,0,135.32,0,3.15,3.15,3.15,18.88,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,33,16,0,27,0,0,10,0,0,0,0,0,0,0,0,0,20,0,19,358,2,5,4,10,0,0,0,32,4,0,19,110,0,0,3,0,0
 24-34,0,0,0.82,1.64,13.13,2.46,0,62.39,2.46,1.64,12.31,0,0,0,0.82,0.82,0,1.64,0.82,0.82,58.28,0,19.7,661.61,0.82,4.1,8.21,0,0,8.21,0,0,0.82,0.82,3.28,141.19,0,0,9.03,0,0.82
 36-46,0,0,0,0,6.45,0,0,122.46,0,0,16.92,0.81,0,0.81,0.81,0,0,0,0,0.81,47.53,2.42,8.06,361.75,2.42,2.42,4.03,0,0,5.64,0,0,1.61,0,0,86.21,0,0,2.42,0,0.81
 48-58,0,0,0,0,3.44,0.57,0,149.76,0.57,3.44,26.4,0.57,0,1.15,0.57,0,0.57,1.72,0.57,0,65.41,4.02,10.9,232.39,1.15,5.16,2.3,0,0,6.89,0,0,0.57,0,0,61.4,0,0,4.59,0,2.3
 60-70,0,0,0,0,2.94,0,0,145.27,1.96,0.98,26.5,0,0,0.98,0,0,0,0,0,0,51.04,0.98,3.93,138.39,0,0.98,1.96,0,0,4.91,0,0,0.98,0,0,18.65,0,0.98,1.96,0,0.98
 72-82,0,0,0.98,0,7.85,0.98,0.98,89.33,0.98,1.96,44.17,0,0,0,0,0.98,0.98,1.96,0,0,78.53,4.91,5.89,122.71,0.98,6.87,3.93,0,1.96,6.87,0,0,0,0,0,8.83,0.98,1.96,4.91,1.96,0
 84-94,0,0,1.06,0,7.43,1.06,0,75.4,0,0,15.93,1.06,0,0,0,0,1.06,1.06,1.06,0,56.29,1.06,5.31,78.59,0,4.25,1.06,0,0,16.99,0,0,0,0,0,1.06,0,1.06,5.31,0,0
 96-106,0,0,2.19,0,10.93,5.46,0,61.2,1.09,2.19,39.34,3.28,0,3.28,0,0,2.19,2.19,2.19,0,38.25,1.09,5.46,60.11,1.09,5.46,9.84,0,1.09,13.11,0,0,0,0,0,1.09,0,1.09,8.74,1.09,2.19
108-118,0,0,0,0,14.55,3.06,1.53,47.49,2.3,1.53,29.11,2.3,0,0.77,0.77,0,2.3,0,0,0.77,41.36,0.77,3.06,77.36,0.77,5.36,3.83,0,0,8.43,0,0,0,0.77,0,1.53,0.77,0.77,2.3,0,0
120,0,0,1.96,0,11.76,1.96,1.96,33.32,3.92,0,9.8,0,0,0,0,1.96,3.92,1.96,0,1.96,19.6,0,5.88,58.79,1.96,3.92,1.96,0,0,9.8,0,0,0,0,0,5.88,1.96,1.96,0,0,0
