stage,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,mesenchyme,neural,otic,periderm,somites,spinal.cord,vasculature
 14-21,0,1,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,2.46,0,0,0.82,0,0
 36-46,0,0,0.81,0,0,0,1.61,0,0,0,1.61,0
 48-58,0,0,1.72,1.15,0,0,1.15,0,0,0,1.15,0
 60-70,0,0,35.33,0.98,0,0.98,0,0,0,0,0,0
 72-82,0.98,0,77.55,0,0.98,1.96,7.85,0,0,0,0.98,0
 84-94,0,1.06,39.3,0,2.12,1.06,3.19,0,0,0,0,0
 96-106,0,0,55.74,0,1.09,0,4.37,1.09,0,0,0,0
108-118,0,0,36.77,0,2.3,0,3.83,0,0,0,0,0
120,0,0,35.28,0,1.96,0,1.96,0,1.96,0,0,1.96
