stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,26.36,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,337.13,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,6.13,6.13,0,0,0,0
  7-9,5.26,0,5.26,0,5.26,0,0,0,0,0,0,0,0,0,99.89,0,0,18.4,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,3.15,0,0,0,0,0,0,28.32,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,1,1,0
 24-34,0,0,0,0.82,2.46,0,0,0,0.82,0,0.82,3.28,0,0,8.21,0,0.82,0,0.82,0,0.82,3.28,0
 36-46,0,0,0,0,1.61,0,0.81,0,0,0,0,0.81,0,0.81,2.42,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,2.87,0,0.57,0,0,0.57,0,0.57,0,0,5.16,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,7.85,0,0,0,0,0,0,2.94,0,0,3.93,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,4.91,0,0,0,0,0,0,2.94,0.98,0,5.89,0,0,0,0,0,0,0.98,0.98
 84-94,0,0,0,0,1.06,1.06,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0.77,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
