stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0.82,4.1,0,0,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,1.61,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0.57,3.44,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,3.93,0,0,0,0.98,0
 72-82,0,0,0.98,0,0.98,0.98,0,0,0,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,2.12,0,0,1.06,0,1.06,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,1.09,0,0,2.19,0,0
108-118,0,0,0.77,0,0,0,0,0,0,0,0,1.53,0,0,1.53,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0
