stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,2.63,0,0,26.29,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,84.97,6.29,0,0,18.88,0,6.29,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,97,5,51,0,2,0,2,2,0,0,0,0,0,0,0,0,45,0,0,25,276,3,0,4,0,0,29,6,0,1,3,32,0,0,1,0,0
 24-34,0,0,0,0.82,126.41,1.64,293.87,0,3.28,0.82,9.03,0.82,0,3.28,0.82,0,0,9.85,1.64,0.82,110.82,3.28,1.64,47.61,1284.64,2.46,7.39,26.27,0,0,129.7,0,0,4.93,4.1,192.9,0,0,13.95,0,4.93
 36-46,0,0,0,0,78.96,0.81,255.4,1.61,11.28,4.83,104.74,0.81,0,4.03,1.61,0.81,0.81,6.45,0.81,2.42,135.35,1.61,0.81,36.26,1725.74,2.42,4.83,20.14,0,0.81,166.77,0,0,5.64,0,286.01,0,0.81,8.06,0,4.83
 48-58,0,0,0,0,74.02,0.57,258.21,2.3,14.92,6.31,154.35,0,0.57,0.57,0.57,2.87,4.02,8.61,1.72,2.87,175.01,0.57,3.44,39.59,1345,1.72,3.44,30.41,0,0,141.16,0,1.72,5.74,0,230.1,0,0,10.9,0,11.48
 60-70,0,0,0,0,90.3,0,290.53,1.96,15.7,0.98,162.93,0.98,0,1.96,0.98,2.94,12.76,8.83,0.98,3.93,253.23,0.98,6.87,24.54,1192.55,0.98,1.96,9.82,0,1.96,141.34,0,0,2.94,0,93.24,0,1.96,9.82,0,6.87
 72-82,0,0,0,0,133.51,1.96,263.09,0.98,20.61,11.78,148.23,0.98,0,2.94,1.96,4.91,16.69,12.76,0,1.96,343.58,1.96,10.8,50.06,895.28,1.96,5.89,23.56,0,0,143.32,0,1.96,0.98,0,34.36,0.98,4.91,27.49,3.93,14.72
 84-94,1.06,0,1.06,0,140.19,1.06,214.53,0,41.42,6.37,83.9,1.06,0,1.06,0,13.81,23.36,11.68,1.06,12.74,232.59,5.31,7.43,31.86,420.57,3.19,8.5,29.74,0,0,309.05,0,1.06,6.37,0,33.99,1.06,3.19,5.31,6.37,8.5
 96-106,0,0,0,0,155.18,1.09,151.91,2.19,36.06,3.28,77.59,1.09,0,1.09,1.09,19.67,26.23,12.02,3.28,8.74,165.02,3.28,1.09,18.58,315.83,2.19,8.74,28.41,1.09,3.28,230.59,0,1.09,4.37,0,5.46,3.28,2.19,14.21,3.28,15.3
108-118,0,0,0.77,0.77,144,1.53,134.04,0.77,51.32,6.13,60.51,6.89,0,0.77,1.53,17.62,44.43,18.38,1.53,14.55,153.96,1.53,5.36,29.87,381.45,3.83,6.89,33.7,0,0,161.62,0,0,8.43,0,3.83,6.89,1.53,13.02,3.06,10.72
120,1.96,0,1.96,0,188.14,0,188.14,3.92,58.79,3.92,94.07,5.88,0,3.92,7.84,15.68,17.64,3.92,5.88,5.88,129.35,3.92,3.92,35.28,313.57,0,3.92,29.4,0,0,172.46,0,1.96,3.92,0,5.88,7.84,7.84,9.8,5.88,5.88
