stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,99.89,2.63,0,0,0,0,5.26,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,2.63,123.55,0,0,23.66,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,3.15,0,0,6.29,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,53.5,245.46,0,0,34.62,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,3,2,9,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,4,25,222,0,0,1,0,0,2,0,1,27,0,0,0,0
 24-34,0,0,1.64,0,7.39,0,0.82,0,0.82,1.64,0,0,0.82,0,0.82,6.57,0,0.82,0,0,4.93,1.64,0,0.82,169.92,28.73,11.49,0,0,0,0,0,0,1.64,30.37,0,0.82,0,0
 36-46,0,0,1.61,0,1.61,0,4.03,0,0.81,0,1.61,0,0,0,0,0,3.22,0,0,0,5.64,0,0,0.81,315.82,18.53,22.56,1.61,0,0,0.81,0,0.81,0,19.34,0,0,0,0
 48-58,0,0,1.72,0,4.02,0,12.62,0,0,1.15,1.72,0,0,0,0.57,0,6.89,0,0,0,3.44,0.57,0,0,345.43,12.05,14.92,0,0,0,0,0,0,0,13.77,0,1.15,0,0.57
 60-70,0,0,2.94,0,4.91,0.98,42.21,0,0,0.98,1.96,0,0,0,0,0,12.76,0,0,0.98,8.83,0.98,0.98,0,510.39,12.76,13.74,0.98,0,0,1.96,0,0,0,21.59,0,0,0,0
 72-82,0,0,4.91,0,4.91,0.98,74.61,0.98,0,1.96,5.89,2.94,0,0,0,0,6.87,0,0,0,11.78,2.94,0,0.98,611.58,5.89,26.5,0,0,0,0,0,0,0,9.82,2.94,1.96,0,0
 84-94,0,0,2.12,0,6.37,0,69.03,0,1.06,0,4.25,0,0,0,0,1.06,21.24,0,0,0,9.56,3.19,0,0,287.81,10.62,18.05,0,0,0,0,0,0,0,3.19,1.06,0,0,0
 96-106,0,0,2.19,0,9.84,2.19,63.39,0,1.09,0,3.28,2.19,0,0,0,0,21.86,0,0,0,4.37,4.37,0,0,256.82,4.37,41.53,1.09,0,0,4.37,0,0,0,2.19,3.28,0,1.09,0
108-118,0,0,0.77,0,12.26,0,55.92,0,2.3,1.53,7.66,0,0,0.77,0,0,35.23,0,0.77,0,5.36,3.83,0,0.77,242.81,9.19,19.15,0.77,0,0,1.53,0,0,0,1.53,3.06,0,0,0
120,0,0,1.96,0,11.76,0,80.35,0,1.96,0,17.64,0,0,1.96,0,0,15.68,0,0,0,1.96,3.92,0,0,280.25,15.68,25.48,0,0,1.96,3.92,0,0,0,3.92,3.92,0,0,0
