stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95,0,0,0,34.17,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,122.73,18.88,0,0,91.26,0,0,0,25.18,0,0,0,0,0
 14-21,0,0,1,0,6,6,3,0,0,103,0,0,0,0,0,0,0,0,3,0,0,2,199,10,2,6,15,2,0,6,43,5,331,0,0,0
 24-34,0,0,0,0,3.28,0,27.09,0.82,0.82,94.4,0,0,0,0,0,0,0.82,0.82,8.21,0,0,0.82,242.97,0.82,9.03,7.39,0,2.46,0,0,18.88,3.28,252.82,0,0,0
 36-46,0,0,0.81,0,1.61,0,24.17,0,0,53.98,0,0,0,0,0.81,0.81,0,0,2.42,0,0,0.81,190.94,0,11.28,3.22,0,0,0,0,7.25,0,169.19,0,0.81,0
 48-58,0,0,0,0,1.15,0,26.4,0,0,43.04,0,0,0.57,0,0,0,3.44,0,4.02,0,0,0.57,161.24,0,6.89,4.59,0,1.72,0,0,3.44,0,102.71,0,0,1.15
 60-70,0,0,0.98,0,0,0,20.61,0,0,32.39,0.98,0,0,0,0.98,0,5.89,0,4.91,0,0,0,187.47,0,9.82,10.8,0,1.96,0,0,0.98,0,45.15,0,0.98,0
 72-82,0,0,3.93,0,2.94,0,14.72,0,0,34.36,1.96,0,0,0,0,0,9.82,0,9.82,0.98,0,0,145.29,0,25.52,24.54,0,0,0,0,2.94,0,31.41,0,0,0
 84-94,0,0,5.31,1.06,2.12,0,9.56,0,2.12,37.17,4.25,0,1.06,0,1.06,0,13.81,0,10.62,0,1.06,0,73.28,0,22.3,35.05,0,3.19,0,0,4.25,0,22.3,0,0,0
 96-106,0,0,0,0,1.09,2.19,15.3,0,0,22.95,3.28,0,0,0,0,0,21.86,0,6.56,0,1.09,0,61.2,0,36.06,38.25,0,0,0,0,5.46,0,16.39,0,0,0
108-118,0,0,0.77,0,2.3,0,4.6,0.77,0,20.68,0,0,0,0.77,0.77,0.77,12.26,0,3.83,0,0,0,96.51,0,23.74,26.81,0,3.06,0.77,0,0,0,14.55,0,0,0
120,0,0,0,0,1.96,0,9.8,0,0,19.6,0,0,0,0,0,0,17.64,0,5.88,0,0,0,90.15,0,21.56,29.4,0,0,0,0,1.96,0,7.84,1.96,1.96,0
