stage,axial,blastomeres,endoderm,epidermis,eye,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  3-4,26.36,382.16,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,6.13,140.98,0,0,0,0,0,0,30.65,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,2.63,2.63,0,0,42.06,2.63,26.29,0,0,0,0
 10-12,0,0,3.15,0,3.15,3.15,0,0,28.32,6.29,9.44,0,0,3.15,0
 14-21,0,0,0,2,0,0,0,1,2,0,1,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,2.46,0,0,1.64,0,0,0.82
 36-46,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0.57,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0
