stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,6,2,0,5,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,5,53,0,0,0,2,0,2,10,0,34,22,26,0,0,0,0,0
 24-34,0,0,4.1,0,0,11.49,117.38,1.64,0,2.46,0,1.64,0,0,0,0.82,0.82,0,9.85,0,0,25.45,86.19,0,0,1.64,0,0,5.75,0,1.64,80.44,45.97,10.67,0,0,2.46,0,0
 36-46,0,0,1.61,0,0,19.34,327.1,0,0.81,4.83,0,0,0.81,0,0,0,0.81,0.81,12.89,0,0,16.92,93.46,0,1.61,0.81,0,0,4.03,0,0,98.29,0.81,29.81,0,0,2.42,0,0.81
 48-58,0,0,3.44,0.57,0,49.35,346.58,0.57,1.72,17.21,0,0,0.57,0,1.15,1.72,2.3,0,20.08,0,1.15,16.07,140.58,0.57,1.72,0,0,0,5.74,0,0.57,105.58,0,33.28,0,0,1.72,0,3.44
 60-70,0,0,6.87,1.96,0,50.06,247.34,4.91,0.98,12.76,1.96,0,0,0.98,0,0.98,0,0,12.76,0,0,13.74,103.06,0.98,0,0.98,0,0,7.85,0,0,68.71,0,9.82,0.98,0,1.96,0.98,0.98
 72-82,0,0,3.93,0.98,0,39.27,136.45,0,2.94,3.93,0.98,0,0,0,0,0,0,0,36.32,0.98,0.98,8.83,98.17,0,1.96,0.98,0,0.98,6.87,0,0.98,29.45,0,10.8,0,0.98,4.91,2.94,2.94
 84-94,0,1.06,6.37,9.56,1.06,30.8,206.04,2.12,2.12,5.31,1.06,1.06,0,0,0,0,1.06,1.06,22.3,0,1.06,12.74,44.61,1.06,1.06,3.19,0,0,7.43,0,0,63.72,0,1.06,0,1.06,3.19,0,0
 96-106,0,1.09,4.37,5.46,0,19.67,204.36,0,0,9.84,3.28,0,1.09,0,1.09,0,0,1.09,20.76,1.09,5.46,15.3,33.88,1.09,1.09,0,0,0,20.76,0,0,54.64,0,3.28,0,1.09,3.28,1.09,0
108-118,0,0,3.83,2.3,0,15.32,128.68,0,0.77,6.89,0,1.53,0.77,0.77,0.77,0.77,2.3,0,17.62,0,3.06,20.68,38.3,0,0.77,0,0,0,6.89,0,0,45.96,0,0,0,0.77,2.3,2.3,1.53
120,1.96,0,5.88,0,1.96,7.84,68.59,0,1.96,3.92,0,0,0,0,0,0,0,0,9.8,0,3.92,3.92,13.72,0,0,0,0,0,3.92,0,0,5.88,0,3.92,0,1.96,0,0,0
