stage,erythrocytes,eye,gut,immune,iridophores,mesenchyme,neural,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
 14-21,1,0,1,0,0,0,1,1,0,2,0,2,1,0
 24-34,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,1.61,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,1.72,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0.98
 72-82,0,1.96,0,0.98,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,1.06,0,0,0,0,0,0
 96-106,0,1.09,0,1.09,0,0,1.09,0,1.09,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0,0,0,0.77,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0
