stage,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,olfactory,periderm,spinal_cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 14-21,2,0,0,0,0,0,0,0,0,3,1,0,3,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,1.64,18.88,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.61,30.62,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,1.72,22.95,0,0,0,1.15
 60-70,0,0,0.98,0,0,0,0,0,0,2.94,16.69,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0,0,1.96,26.5,0,0,0,0
 84-94,0,0,2.12,0,1.06,1.06,0,0,0,2.12,15.93,0,0,0,0
 96-106,0,0,1.09,0,0,0,1.09,0,0,3.28,32.79,0,0,0,0
108-118,0,0.77,0.77,0.77,0,0,1.53,1.53,0.77,2.3,25.28,0,0,0.77,0
120,0,0,0,0,1.96,0,0,1.96,0,1.96,11.76,1.96,0,0,0
