stage,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,11,0,0,20,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0
 24-34,0,3.28,0,0.82,86.19,0,0,0,0,0,0,0,34.48,0,0,22.16,4.1,0,0,0,0,0,0.82,0,0,0
 36-46,0,12.89,0,1.61,57.2,5.64,0,0,0,0,0,0,95.87,1.61,0,45.92,4.03,0,0,0,0,0,2.42,0,0,0
 48-58,0,11.48,0,2.87,51.64,10.9,0,0,0,0,0,0.57,194.52,0,0,57.95,4.59,0,0,0,0,0,2.87,0,2.3,0
 60-70,0,22.58,0,4.91,41.22,5.89,1.96,0,0,0,0.98,4.91,390.65,0,1.96,51.04,5.89,0,0,0.98,0,0,3.93,0,7.85,0
 72-82,0,20.61,0,23.56,17.67,18.65,5.89,0,0,0,0,8.83,556.6,0.98,0.98,67.73,9.82,0.98,0,3.93,0,0,0.98,0,10.8,2.94
 84-94,0,62.66,0,25.49,31.86,16.99,3.19,1.06,0,0,7.43,5.31,414.19,1.06,5.31,54.16,2.12,2.12,0,1.06,0,0,4.25,0,7.43,2.12
 96-106,0,55.74,1.09,18.58,25.14,16.39,4.37,0,1.09,1.09,4.37,7.65,438.23,0,6.56,50.27,26.23,7.65,0,5.46,1.09,0,6.56,0,10.93,1.09
108-118,0,50.55,0,8.43,27.57,8.43,6.13,0,0,0,3.83,6.13,360.77,0.77,4.6,42.13,22.98,1.53,0,4.6,2.3,0.77,0.77,0.77,7.66,1.53
120,0,66.63,0,7.84,15.68,3.92,0,0,0,0,0,3.92,346.88,1.96,7.84,33.32,15.68,0,0,0,3.92,0,3.92,1.96,1.96,1.96
