stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,7.89,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,76.23,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.56,6.29,0,0,40.91,0,0,0,9.44,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,6,4,1,0,37,0,0,1,0,0,0,0,0,0,5,0,0,2,37,2,4,9,4,0,3,2,62,1,4,124,0,0,0,0,0
 24-34,0,0,0,0,1.64,0.82,2.46,0,45.97,0,0,0.82,0,0,0,0,0,0,5.75,0.82,0,1.64,75.52,2.46,17.24,3.28,0,0,0,0,35.3,0,0,120.67,0,0,4.93,0,0.82
 36-46,0,0,0,0,0,0,12.09,0.81,27.39,0,0,0,0,0,0,0,0,0,4.03,0,0,0.81,104.74,0.81,20.14,1.61,0,0,1.61,0,20.95,0,0,81.37,0,0,0.81,0,0
 48-58,0,0,0,0.57,1.15,0,18.94,0,42.46,0,0,0.57,0,0,0,2.87,0,0.57,8.61,0.57,0,1.15,76.89,0.57,7.46,4.59,0,0,0,0,7.46,0,0,63.69,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,19.63,0,36.32,0.98,0,0.98,0,0,0,6.87,0.98,0,18.65,0,0,1.96,74.6,0,15.7,9.82,0,0,0.98,0,2.94,0,0,44.17,0,0,0,0,0
 72-82,0,0,0,0,0,0,16.69,0,43.19,0.98,0,0.98,0.98,0,0,11.78,0.98,0,12.76,0,1.96,1.96,63.81,0,27.49,24.54,0.98,0,0,0,3.93,0,0,26.5,0,0,3.93,0.98,0
 84-94,0,0,2.12,0,4.25,0,18.05,0,48.85,0,0,0,3.19,1.06,0,11.68,0,0,25.49,2.12,0,1.06,46.73,1.06,33.99,36.11,0,0,3.19,0,4.25,0,0,23.36,3.19,0,0,1.06,0
 96-106,0,0,0,0,1.09,0,12.02,0,42.62,2.19,0,1.09,5.46,0,0,21.86,0,0,10.93,0,0,0,37.16,1.09,44.81,46.99,0,1.09,5.46,0,5.46,0,0,18.58,1.09,2.19,3.28,2.19,1.09
108-118,0,0,0,0,3.06,0.77,12.26,0.77,36,1.53,0,1.53,0.77,0,0.77,16.09,0,0.77,5.36,0,0.77,0.77,49.02,0,29.11,32.17,0,0,1.53,0,6.13,0,0,16.85,2.3,0,0,0,0
120,0,0,0,0,3.92,0,5.88,3.92,11.76,3.92,0,0,1.96,0,0,15.68,0,0,5.88,0,0,0,58.79,0,19.6,39.2,0,0,1.96,0,1.96,0,0,7.84,0,0,0,0,1.96
