stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,immune,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0.82,0.82,0,0.82,0,0,7.39,0.82,0,0.82,0,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,0,1.61,0.81,0,0,0,1.61,0,0,12.09,0,0,0,0.81,0,0,5.64,0,0
 48-58,0,0,0,0,0,0.57,3.44,0.57,1.72,1.15,0,1.72,0,0.57,14.92,2.3,0.57,0,0,0,0,5.16,0,0
 60-70,0,0,0,1.96,0,2.94,0.98,0,2.94,0.98,0,1.96,0,0,12.76,0,0.98,0,0.98,0,0,2.94,0,0
 72-82,0,0,0,1.96,0,2.94,0,0,1.96,0,0,4.91,0,0,17.67,1.96,0,0,0.98,0,0,1.96,0,1.96
 84-94,0,1.06,0,0,0,7.43,0,1.06,1.06,1.06,0,1.06,1.06,2.12,7.43,0,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,0,2.19,0,5.46,2.19,0,1.09,0,1.09,2.19,0,0,6.56,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0.77,1.53,0.77,3.83,0,0,0.77,0.77,0,3.83,0,0,9.96,2.3,0,0,0.77,0,0,0,0.77,0
120,0,0,0,1.96,0,0,1.96,0,1.96,3.92,1.96,1.96,0,0,15.68,0,0,0,1.96,0,1.96,3.92,3.92,0
