stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,6,3,1,0,0,22,1,0,0,0,0,0,0,0,5,0,0,4,40,1,1,1,0,0,3,17,5,75,0,0,0,0,0
 24-34,0,0,0.82,0,4.93,0,0,15.6,0,0,0,0,0,0.82,0,0,6.57,0,0,4.93,64.03,0,16.42,0.82,0,0.82,0,9.03,0.82,39.4,0,0,2.46,0,0
 36-46,0,0,0.81,0,8.86,0,1.61,12.89,0,0,0,0.81,0,0,0,0,8.06,0,2.42,0.81,78.15,0.81,17.72,0.81,0,0.81,0,5.64,0,38.67,0,0,1.61,0,0
 48-58,0,0,1.15,0,13.2,0,0,9.18,0.57,0.57,0,0,0,0.57,0,1.15,7.46,0,0,2.3,29.84,0,7.46,0,0,0.57,0,0.57,0,30.99,0,0,0,0,0.57
 60-70,0.98,0,0,1.96,30.43,0,1.96,9.82,0,0,0.98,0,0,1.96,0,0,14.72,0,0,0.98,52.02,0,8.83,2.94,0,0.98,0,1.96,0,17.67,0,0,1.96,0,1.96
 72-82,1.96,0,2.94,2.94,27.49,0.98,0.98,11.78,0.98,0.98,0.98,0,0,2.94,0,0,10.8,0,0.98,0.98,45.16,0,23.56,8.83,0,0,0,0,0,21.6,0,0.98,0,0,1.96
 84-94,1.06,1.06,2.12,1.06,20.18,1.06,0,15.93,1.06,0,2.12,0,2.12,1.06,0,0,21.24,0,1.06,0,31.86,0,11.68,6.37,1.06,2.12,0,2.12,0,13.81,1.06,1.06,0,1.06,2.12
 96-106,0,0,3.28,2.19,13.11,0,0,9.84,1.09,2.19,0,1.09,1.09,6.56,1.09,0,12.02,3.28,0,1.09,21.86,0,14.21,14.21,0,3.28,0,0,0,2.19,0,1.09,0,0,4.37
108-118,0,0,2.3,2.3,12.26,0,0.77,9.19,0.77,0,1.53,0,1.53,3.83,0,0,8.43,0,0,0.77,26.04,0,19.15,6.89,0.77,0.77,0,0.77,0,3.83,2.3,0,2.3,0,6.13
120,0,0,1.96,5.88,3.92,0,0,1.96,1.96,0,0,0,0,1.96,0,1.96,7.84,0,0,1.96,35.28,0,3.92,7.84,0,0,0,1.96,0,3.92,0,0,0,1.96,1.96
