stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,9,0,0,0,0,1,0,19,0,0,0,1
 24-34,0,0,0,1.64,0,0,7.39,0,1.64,0,0,0,0,0,0,0,0,0,0.82,4.1,0,0,0.82,212.6,0,25.45,0.82,0,0,0,0,0,25.45,0,0,0,0
 36-46,0,0,0,2.42,0,0,52.37,0,0,0.81,6.45,0,0,2.42,0,0,0,0.81,0,2.42,0,0,2.42,513.21,0,20.14,1.61,0,0,0.81,0,0.81,49.95,0,0,0,0.81
 48-58,0,0,0,2.3,0,0,144.03,0,0.57,1.72,13.77,0,0.57,0,0,0,2.3,0,0,9.18,0.57,0,2.3,685.12,0.57,7.46,0,0,0,0,0,0.57,84.92,0,0,2.87,0
 60-70,0,0,0,0.98,0,0,253.23,0.98,0.98,1.96,11.78,0,0,0,0.98,0,6.87,0,0,14.72,0.98,0,0.98,759.7,0.98,6.87,5.89,0,0,0.98,0,0,65.76,0,0,0.98,0
 72-82,0,0,1.96,5.89,4.91,0.98,414.26,0,0,1.96,76.57,0,0,0,2.94,0,3.93,1.96,0.98,20.61,0.98,0.98,1.96,764.71,0,22.58,8.83,0,0.98,0.98,0,0,45.16,0,0,1.96,0
 84-94,0,0,0,11.68,1.06,0,207.1,0,0,2.12,47.79,0,0,1.06,0,0,5.31,0,0,13.81,0,0,1.06,391.89,0,8.5,8.5,0,0,0,0,1.06,25.49,3.19,1.06,0,0
 96-106,0,0,2.19,12.02,1.09,0,201.08,0,0,0,52.46,1.09,0,0,2.19,0,4.37,2.19,0,24.04,0,1.09,0,320.2,0,15.3,12.02,0,0,4.37,0,1.09,13.11,0,0,0,2.19
108-118,0,0,0.77,2.3,1.53,0,150.13,0,0.77,0,32.17,0,0,0,5.36,0.77,7.66,1.53,0,16.85,0,0,3.06,308.68,0,9.19,6.89,0,0,0,0,1.53,3.83,0.77,0,0.77,0
120,0,0,1.96,5.88,0,0,113.67,0,0,3.92,25.48,1.96,0,0,1.96,0,0,0,0,19.6,0,0,0,480.15,0,17.64,11.76,0,0,1.96,0,1.96,13.72,0,0,1.96,0
