stage,blastomeres,eye,glial,immune,ionocyte,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,periderm,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,3.15,0,0
 24-34,0,0,0,0,0,0,0,0,2.46,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,3.22,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,1.15,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,1.96,0,0,0,1.96,0,0.98,1.96,0,0,0
 84-94,0,0,0,1.06,1.06,1.06,0,0,0,0,0,0
 96-106,0,0,1.09,1.09,0,1.09,1.09,0,0,0,0,0
108-118,0,0.77,0,0,0,0,0,0,0.77,0,0.77,0
