stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,7.89,0,0,0,0,0,0,0,0,0,0,36.8,5.26,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,3,0,0,0,0,0,0,0,2,0,1,66,1,0,0,1,1,2,1,1,1,19,1,0
 24-34,0,0,0,0.82,5.75,0,0,0,0,0,0,0,2.46,0,2.46,54.18,0,1.64,0,0,2.46,0,0.82,0,0.82,15.6,2.46,0.82
 36-46,0,0,0,0,8.06,0,0,4.03,0,0,0,0,3.22,0,0.81,36.26,0,1.61,0,0,0,0,0,0,0,8.86,0,0
 48-58,0,0,0,0.57,8.03,0,0,2.3,0.57,0,0,0,4.59,0.57,1.72,21.23,0,0,0,0,0,0,0,0,0,5.16,0,0.57
 60-70,0,0,0,0,17.67,0,0,3.93,0,0,0,0,2.94,0,0.98,14.72,0,0,0,0,1.96,0,0,0,0,3.93,0.98,0
 72-82,0,0,0,0.98,14.72,0,0.98,1.96,0,0,0.98,0,9.82,1.96,0,15.71,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,8.5,0,0,3.19,0,3.19,0,0,5.31,1.06,0,8.5,0,0,0,0,0,0,0,0,0,2.12,1.06,0
 96-106,0,0,0,2.19,4.37,1.09,0,1.09,0,1.09,0,1.09,3.28,0,0,7.65,0,0,1.09,0,0,0,0,0,0,0,2.19,0
108-118,0,0,0,0,2.3,0,0.77,0.77,0,0,0,0,1.53,0,0.77,5.36,0,0,0.77,0,0.77,0,0,0,0,0,1.53,0
120,0,0,0,0,3.92,0,0,1.96,0,0,0,0,1.96,0,0,15.68,0,0,0,0,0,0,0,0,0,0,0,0
