stage,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,5,0,0,0,0,4,0,2,0,2,0,0,0,0,2,0,0,1,7,0,1,2,3,3,1,8,0,0,0,0
 24-34,0,4.93,0,4.1,4.1,0,1.64,0,0,0,13.13,0,0,0,0,0,0.82,0,2.46,24.63,2.46,0.82,0,0,0,1.64,11.49,0,0.82,0,0
 36-46,0,0.81,0,1.61,0.81,0,1.61,0,0.81,0,4.03,0,0,0,0,4.03,0,0,0.81,20.14,3.22,0.81,1.61,0,0,0,4.03,0,0,0,0
 48-58,0,1.72,0,6.89,0.57,0,1.15,0,0.57,0,2.87,0,0,0,0,4.59,0.57,0.57,1.15,10.33,3.44,0.57,0,0,0,0,4.02,0,0,0,0
 60-70,0,0,0,9.82,0,0,0.98,0.98,0,0,2.94,0,0,0.98,0,3.93,2.94,0,0,5.89,0,0,1.96,0,0,0,2.94,0.98,0,0,0
 72-82,1.96,0.98,0,6.87,0,0,6.87,1.96,0,0,4.91,0.98,0,0,0,12.76,8.83,0,1.96,6.87,13.74,0.98,0.98,0,0,0,0.98,0.98,0.98,0,0
 84-94,0,5.31,0,5.31,0,0,3.19,2.12,0,1.06,14.87,0,0,0,0,14.87,7.43,1.06,3.19,6.37,13.81,0,1.06,0,2.12,0,3.19,5.31,0,0,0
 96-106,0,5.46,0,2.19,2.19,2.19,3.28,12.02,0,0,13.11,0,2.19,0,0,8.74,5.46,0,0,8.74,21.86,0,1.09,0,0,0,1.09,25.14,1.09,1.09,1.09
108-118,0,4.6,0.77,6.89,1.53,0,3.06,11.49,0,0.77,16.85,0,1.53,1.53,0.77,9.96,5.36,0,0,6.89,10.72,1.53,1.53,0,2.3,0,3.06,22.98,0,0.77,0.77
120,0,7.84,0,5.88,0,0,3.92,1.96,0,0,11.76,0,1.96,0,0,7.84,5.88,0,0,5.88,9.8,1.96,3.92,0,0,0,1.96,13.72,0,1.96,0
