stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,4,0,6,20,191,0,41,0,2,0,1,40,0,2,0,1,2,0,7,0,270,0,0,279,82,4,0,0,94,0,1,1,947,63,1,646,142,0,0,6,0,0
 24-34,0,0,0,9.85,22.16,0,117.38,1.64,3.28,36.94,1.64,11.49,0.82,9.85,0,0,4.1,0,10.67,1.64,363.64,0.82,0.82,265.96,96.86,2.46,0,0,0,0,1.64,0,4.93,3.28,6.57,377.59,44.33,0,0,30.37,0,0
 36-46,0,0,0,3.22,0,0,91.85,1.61,4.83,107.96,8.86,1.61,0,4.83,0.81,0,6.45,0,0,0,364.97,0,1.61,195.78,56.4,0,0.81,0,0,0,0,0,0.81,0.81,4.03,2.42,20.14,0,0,0.81,0,0.81
 48-58,0,0,0,4.02,0,0,94.68,0,7.46,129.11,20.66,0.57,0,1.15,0,0,20.08,0,0,0.57,363.79,0,0.57,74.02,71.73,0.57,0.57,0,0,0,1.15,0,0,0,0.57,0,15.49,0,1.15,2.3,0.57,0.57
 60-70,0,0.98,0,6.87,0,0,103.06,0.98,9.82,161.95,30.43,0,0,0.98,0,0.98,46.13,0,0.98,0,340.59,0,4.91,30.43,57.91,1.96,0,0,0,0.98,0.98,0,0,0,0,0,5.89,0,6.87,1.96,1.96,0
 72-82,0,0,0,10.8,0.98,0,107.98,0.98,6.87,235.6,67.73,1.96,0,0,0,1.96,28.47,0,0,0,266.03,0,9.82,27.49,88.35,0.98,0,0.98,0,1.96,2.94,0,0,0,0,0,4.91,0,13.74,0.98,15.71,0.98
 84-94,0,1.06,0,13.81,0,0,132.75,0,5.31,170.99,45.67,0,0,1.06,1.06,5.31,32.92,1.06,0,0,215.59,0,4.25,21.24,32.92,2.12,0,1.06,0,2.12,2.12,0,0,0,0,0,3.19,1.06,16.99,1.06,8.5,5.31
 96-106,0,1.09,1.09,32.79,1.09,0,101.63,0,4.37,159.56,45.9,1.09,0,0,6.56,4.37,18.58,1.09,1.09,2.19,197.81,0,1.09,7.65,60.11,1.09,1.09,1.09,0,3.28,4.37,0,0,0,0,0,4.37,0,12.02,1.09,16.39,2.19
108-118,0,0.77,0,19.15,0,0.77,94.21,1.53,4.6,124.09,38.3,0.77,0,0,1.53,1.53,25.28,0.77,1.53,4.6,172.34,2.3,0,9.96,52.09,0,0.77,0,0,2.3,0.77,0,0,0.77,0,0,1.53,0,11.49,0.77,6.89,6.89
120,0,0,0,11.76,0,0,50.95,0,5.88,148.94,54.87,0,0,0,3.92,3.92,9.8,1.96,3.92,3.92,145.02,0,0,11.76,62.71,1.96,0,1.96,0,0,1.96,0,0,0,0,0,3.92,0,3.92,3.92,3.92,0
