stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0
 24-34,0,0.82,0,0.82,0,0,0,0,0,0,0,0,3.28,0,0,4.93,0,0.82,0,0,0,0.82,0,0,0.82
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,1.61,0.81,0.81,16.11,0.81,0.81,0,0.81,0,4.03,0,0,0.81
 48-58,0,0,0,2.3,0,2.87,0,0.57,0,0,0,0.57,1.15,0,0.57,26.97,0,1.72,0,0,0,1.15,0,0,1.15
 60-70,0,0,0,19.63,0,8.83,0,1.96,0,0,0,0,1.96,0,0,74.6,0,1.96,0,0,0,4.91,0,0,1.96
 72-82,0,0,0,47.12,0.98,10.8,0.98,0,0,0,0,0,8.83,0,0.98,71.66,0.98,1.96,0,0,0,0,0,0,0
 84-94,0,1.06,0,36.11,0,5.31,0,2.12,0,0,0,1.06,5.31,0,1.06,58.41,0,2.12,2.12,0,0,3.19,0,1.06,0
 96-106,0,1.09,0,46.99,1.09,4.37,0,2.19,0,0,1.09,0,7.65,0,0,40.44,1.09,2.19,1.09,0,0,0,0,0,1.09
108-118,0,0.77,0.77,26.04,0.77,3.06,0,3.06,0,0.77,2.3,0,4.6,0,1.53,59.75,1.53,4.6,0,0,0.77,1.53,0.77,0,0.77
120,0,7.84,0,17.64,0,11.76,0,5.88,1.96,0,3.92,1.96,9.8,0,0,58.79,1.96,5.88,0,0,0,3.92,0,0,0
