stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,1,2,0,4,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,68,0,1,2,0,0,0,0,0,30,0,0,1,0,0
 24-34,0,1.64,0,1.64,0,0,1.64,0,0,1.64,0,0,0,0,4.1,0,0.82,0,0,3.28,0.82,0,1.64,290.58,0,7.39,4.93,0,1.64,0.82,2.46,0.82,55,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,62.84,0,0.81,8.06,1.61,0,0.81,0,1.61,0,1.61,0,0.81,2.42,1.61,0,0,902.35,0,13.7,2.42,0,0.81,0,0,0,131.32,0,0,1.61,0,0
 48-58,0,0,0,4.02,0,0,193.95,0,0,13.77,0.57,0,0,0,2.3,0,1.72,0,1.72,8.03,2.87,0,0,869.31,0,4.59,3.44,0,0.57,0,0.57,0,147.47,0,0,1.15,0,0.57
 60-70,0,1.96,0,1.96,0,0,572.23,0,0,26.5,3.93,0,0,0,0,0.98,1.96,0,0.98,7.85,3.93,0,0,1192.55,0,9.82,4.91,0,0.98,0,0,0,147.23,0.98,0,0.98,0,0.98
 72-82,0,0,0,4.91,0.98,0.98,398.55,0.98,0,26.5,3.93,0,0,0,1.96,0,0.98,1.96,0.98,13.74,3.93,2.94,2.94,697.96,0,14.72,9.82,0,0.98,0,1.96,0,37.3,4.91,0,0.98,1.96,0.98
 84-94,0,2.12,1.06,8.5,1.06,0,260.2,0,1.06,36.11,7.43,1.06,0,0,5.31,3.19,4.25,3.19,0,13.81,7.43,2.12,4.25,373.84,0,7.43,11.68,0,3.19,0,0,0,23.36,5.31,1.06,0,1.06,1.06
 96-106,0,3.28,0,9.84,1.09,0,181.41,1.09,0,24.04,6.56,1.09,0,1.09,5.46,1.09,5.46,3.28,0,5.46,5.46,0,0,255.73,0,4.37,19.67,0,3.28,0,1.09,0,8.74,9.84,0,2.19,0,1.09
108-118,0,0,0,9.96,1.53,6.13,167.75,0.77,0,19.92,12.26,0,0,1.53,6.13,0,2.3,3.06,0,6.89,6.13,0,0,294.9,0,6.13,8.43,0,0.77,0,0.77,0,7.66,11.49,0,0,0,0
120,0,1.96,0,7.84,1.96,1.96,109.75,1.96,0,15.68,9.8,0,0,0,3.92,0,5.88,1.96,0,3.92,3.92,0,1.96,260.65,0,13.72,7.84,0,3.92,0,5.88,0,9.8,3.92,0,0,0,1.96
