stage,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,3,1,2,0,1,0,1,0,0,0,0,0,3,0,2,46,1,0,1,1,5,5,2,2,7,0,1,0,0
 24-34,0.82,2.46,0.82,15.6,0,5.75,0,0,0,0,0.82,0,0,10.67,0,5.75,139.55,0,0.82,1.64,0,0.82,0,0,0,27.09,0,0,0,0
 36-46,0,0.81,0,53.17,0,0,0,0,0.81,0,0,0,0,5.64,0,1.61,110.38,0.81,0.81,0,0,0.81,0.81,0,0,28.2,0,0.81,0,0.81
 48-58,0,1.72,0.57,87.79,0,4.59,0,0,0,0,0,0,0,20.66,1.72,1.72,58.53,0.57,0,0.57,0,0.57,0,0,0,17.21,0,0.57,0,0
 60-70,0,5.89,0.98,34.35,0,4.91,0.98,0,0,0,0,0,0.98,13.74,0,2.94,30.43,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0
 72-82,0,2.94,0,27.49,0.98,3.93,0,0,0,0,0,0,0,6.87,0,1.96,15.71,0,0,0.98,0,0,0,0,0,0.98,0,0.98,0,0
 84-94,0,7.43,1.06,47.79,0,4.25,1.06,0,1.06,1.06,0,0,0,18.05,2.12,3.19,24.43,0,0,0,0,2.12,0,1.06,0,0,0,1.06,0,0
 96-106,0,0,0,15.3,0,5.46,0,0,0,0,0,1.09,0,10.93,1.09,1.09,26.23,0,0,0,0,0,0,0,0,0,0,1.09,1.09,0
108-118,0,1.53,0.77,2.3,0.77,0.77,0,0,0,0.77,0,0,0,5.36,0,0,9.96,0,0,0.77,0,1.53,0,0,0,0,0.77,0.77,0,0
120,0,1.96,0,7.84,1.96,3.92,0,0,0,3.92,0,0,0,1.96,0,1.96,23.52,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0
