stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,3.28,16.42,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,45.92,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,37.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,2.3,0,0,433.8,0,0,0,5.16,0,0,0,0,0,0,0,0.57,2.3,0,0,1.72,63.12,0,0.57,0,0,1.72,0,0,0,3.44,0,0,0,0,0
 60-70,0,0,0,3.93,0,0,2497.97,0,0,2.94,17.67,0,0,1.96,0,0,0,0.98,0.98,32.39,0,0.98,0.98,159.99,0,0.98,1.96,0,7.85,0,0.98,0,33.37,0,0,0.98,0,4.91
 72-82,0,0.98,0,44.17,11.78,0.98,3822.59,3.93,6.87,6.87,94.24,8.83,2.94,4.91,2.94,5.89,1.96,2.94,2.94,98.17,0.98,6.87,4.91,350.45,0,4.91,5.89,1.96,8.83,0,0.98,0,26.5,0,3.93,9.82,2.94,5.89
 84-94,0,0,0,101.96,12.74,0,3069.29,4.25,10.62,4.25,107.27,7.43,3.19,2.12,0,5.31,2.12,4.25,0,74.34,3.19,9.56,11.68,227.28,5.31,3.19,5.31,1.06,24.43,0,2.12,3.19,12.74,4.25,6.37,11.68,2.12,5.31
 96-106,0,2.19,0,75.41,14.21,3.28,2553.98,2.19,16.39,1.09,90.71,9.84,5.46,15.3,3.28,4.37,3.28,9.84,1.09,71.04,0,3.28,13.11,225.13,4.37,3.28,7.65,3.28,21.86,0,2.19,2.19,9.84,5.46,3.28,13.11,3.28,3.28
108-118,1.53,0,0,22.98,6.13,0.77,1770.91,1.53,4.6,3.83,48.26,6.13,0.77,6.13,1.53,3.06,0,3.83,0,35.23,0,1.53,6.89,174.64,3.83,5.36,3.06,0,13.02,0,0,0,6.13,3.83,1.53,3.06,1.53,0.77
120,0,0,1.96,35.28,13.72,1.96,1450.24,1.96,3.92,5.88,64.67,3.92,0,1.96,0,3.92,0,1.96,0,45.08,3.92,1.96,1.96,219.5,5.88,0,1.96,0,5.88,0,0,0,0,1.96,0,0,3.92,0
