stage,eye,fin.epithelia,glial,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,vasculature
 14-21,1,0,0,0,0,0,3,0,0,1,0,2,0
 24-34,0,0,0.82,0.82,0,0.82,7.39,0,0,0,0,0.82,0
 36-46,0,0,0,0.81,0,0,4.03,0,0.81,0,0.81,2.42,0
 48-58,0.57,0,0.57,0,0,0.57,4.02,0,0,0,0,1.72,0
 60-70,2.94,0.98,0,1.96,0,0,3.93,0.98,0,0,0,0,0
 72-82,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0
 84-94,1.06,0,0,1.06,1.06,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,1.53,0,0,0.77,0,0.77,1.53,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0
