stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,226.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,49.95,5.26,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.26,9.44,0,0,31.47,0,0,9.44,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,6,3,2,0,0,0,1,0,0,0,1,0,0,0,0,8,0,0,3,62,2,0,1,0,0,16,1,0,7,19,0,0,0,0,1
 24-34,0,0,0,3.28,0.82,9.03,0,0.82,0,2.46,0,0,0,0,0,0.82,0,0,13.13,0,0.82,4.93,70.59,0.82,0.82,1.64,0,4.1,0,0,0.82,2.46,16.42,0,0,0.82,0,0
 36-46,0,0,0,1.61,0,12.89,0,0,0,3.22,0,0,1.61,0,0,0,0,0,12.89,0,0.81,3.22,55.59,0,0.81,0,0,2.42,0,0.81,0,0.81,12.09,0,0,0,0,0
 48-58,0,0,0,1.15,0,9.18,0,0,0,2.87,0.57,0,0,0,0,0,0,0,8.61,0,0.57,2.87,21.23,0,0.57,0.57,0,0.57,0,0,0,0,5.74,0,0,0.57,0,0
 60-70,0,0,0,3.93,0,4.91,1.96,0.98,0.98,2.94,0.98,0,0,0,0,0,0,0,11.78,0,0.98,1.96,11.78,0.98,0,0,0,1.96,0,0,0,0,0.98,0,0,1.96,0,0.98
 72-82,0,0,0,0,0,2.94,0,0,1.96,3.93,0,0,0,0,0,0,0.98,0,15.71,0,0,0.98,6.87,0,0,0,0,0,0,0,0,0,0.98,1.96,0,0.98,0,0
 84-94,0,0,0,2.12,0,6.37,0,1.06,0,3.19,1.06,0,1.06,1.06,1.06,0,0,0,8.5,0,1.06,3.19,8.5,0,0,0,0,10.62,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,3.28,0,1.09,0,0,0,3.28,0,0,1.09,1.09,0,0,1.09,0,4.37,0,1.09,2.19,3.28,0,0,0,0,2.19,0,0,0,0,0,0,1.09,1.09,0,0
108-118,0,0,0,3.06,0,6.13,0,0.77,1.53,4.6,1.53,0,0,0,0,0.77,0,0.77,10.72,0,0.77,2.3,3.83,0,0,0,0,1.53,0,0,0.77,0,1.53,0,0,0.77,0,0
120,0,0,0,7.84,0,7.84,1.96,0,1.96,5.88,0,0,1.96,0,0,0,0,0,11.76,1.96,0,5.88,27.44,1.96,0,0,0,1.96,0,0,0,0,1.96,0,0,5.88,3.92,0
