stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,ionocyte,liver,mesenchyme,neural,paraxial_mesoderm,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,1.96,0,0,0,0
 72-82,0,0,1.96,0.98,0.98,0,0.98,0,0,2.94,0.98,0,0,0
 84-94,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,1.09,5.46,1.09,0,1.09,0,0,1.09,6.56,2.19,0,0,0
108-118,0,0,0.77,0,0,0,0,0,0,0.77,1.53,0,0,1.53
120,0,0,5.88,0,0,0,0,0,0,0,1.96,0,0,0
