stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,neural,otic,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,487.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0
 24-34,0,0,1.64,0,2.46,0,0,0,0,0,0.82,8.21,4.93,0,0,0.82,0,18.06,2.46,0,6.57,0,0.82,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0.81,22.56,3.22,0,0,0,0,12.09,0.81,0,10.47,0,1.61,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,1.15,19.51,2.87,0,0,1.15,0,8.03,2.87,0.57,4.59,0,0.57,0,0
 60-70,0,0,0,0,0,0.98,1.96,0,0,0,2.94,42.21,0.98,0,0,0.98,0,8.83,4.91,0,6.87,0,0.98,0.98,0
 72-82,0,0,0,0,0,0.98,13.74,0,0,0,3.93,59.88,3.93,0,0.98,1.96,0,29.45,7.85,0,2.94,0,2.94,0.98,0.98
 84-94,0,0,0,0,0,1.06,9.56,0,0,1.06,1.06,78.59,2.12,0,0,3.19,1.06,14.87,15.93,0,1.06,0,2.12,4.25,0
 96-106,0,0,0,0,0,1.09,10.93,1.09,0,0,2.19,85.24,2.19,0,8.74,2.19,0,16.39,12.02,1.09,1.09,0,7.65,9.84,0
108-118,0,0,0,0.77,0.77,1.53,5.36,0,0.77,0,3.06,91.15,6.13,0.77,4.6,3.06,0,20.68,13.79,0,0,0.77,3.06,5.36,0.77
120,0,0,0,0,1.96,9.8,3.92,0,0,0,3.92,101.91,5.88,0,5.88,0,0,19.6,7.84,0,0,0,5.88,11.76,0
