stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,gut,hatching.gland,heart,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,9.44,0,0,0,0,0,0,0,40.91,3.15,0,0,22.03,0,3.15,0,0,0
 14-21,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0
 24-34,0,0,0,0.82,0,2.46,0.82,0,0,0.82,0,1.64,0,6.57,0,0,0,0,0,0,0.82,0.82,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,1.61,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.15,0.57,0,0,0,0,1.72,0,1.15,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0.98,0.98,0,0,0,0,0.98,0,0,2.94,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,0,0.98,0,0.98,0,0.98,0,0,0.98,0,0,0,0.98
 84-94,0,0,0,0,1.06,0,0,1.06,0,0,0,1.06,0,2.12,0,0,1.06,0,2.12,0,0,0,0
 96-106,0,0,0,0,2.19,3.28,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0.77,0,1.53,0,2.3,0,0,0,0
120,0,0,1.96,3.92,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,5.88,0,0,0,1.96
