stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,visceral.smooth.muscle
  3-4,118.6,3228.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0
  5-6,128.72,1127.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,12.26,12.26,0,0,0,0,0,0,0
  7-9,7.89,10.51,0,31.54,0,0,2.63,0,0,0,0,10.51,0,0,0,0,0,0,128.81,7.89,0,123.55,0,13.14,0,0,0,0,0,0
 10-12,0,0,0,37.76,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,53.5,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,1,13,0,19,1,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,1.64,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,22.56,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,1.15,0,0,0,107.88,0,0,0.57,0,0,0,0,0,0,0,0,5.16,0,0,0,0,0,0,0.57,0,0.57,0,0
 60-70,0,0,0,0,0,0,220.84,0.98,0.98,0,0.98,0,0,0,0,0,0.98,0,2.94,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,2.94,0,0,0,222.84,1.96,0,0,0.98,0,0,0.98,0.98,0,0,0,7.85,0,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,2.12,0,1.06,0,191.17,4.25,0,0,0,0,1.06,3.19,0,0,4.25,1.06,1.06,0,0,0,0,0,0,0,0,1.06,0,1.06
 96-106,0,0,0,0,0,0,113.66,5.46,0,0,0,0,0,0,2.19,0,4.37,0,3.28,0,0,0,0,0,0,1.09,0,0,13.11,1.09
108-118,0,0,3.06,0,0,0.77,71.23,5.36,0,0,0.77,0,0.77,3.06,3.06,0,2.3,0,6.13,0,0.77,0,0,0,0,0.77,0,0,9.19,1.53
120,0,0,1.96,0,1.96,0,58.79,1.96,0,0,0,0,0,3.92,0,0,1.96,0,3.92,0,0,0,0,1.96,0,0,0,0,5.88,0
