stage,epidermis,eye,fast_muscle,glial,gut,heart,immune,mesenchyme,mural_cell,muscle,neural,pericytes,periderm,spinal_cord,vascular_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.64,0,0,1.64,0,0,2.46,0
 36-46,0,0,0,0,0,0,0,0,0,0,4.03,0,0,1.61,0
 48-58,0,2.3,0,0,0,0,0,0.57,0,0.57,4.02,0,0,0,0
 60-70,0,8.83,0,0,0,0,0,0,0,0,4.91,0,0,0.98,0
 72-82,0,0.98,0.98,0.98,0,0.98,0,0.98,0.98,0,4.91,0,0,0,0.98
 84-94,1.06,5.31,0,0,0,0,1.06,0,0,0,1.06,0,0,1.06,0
 96-106,0,1.09,0,0,1.09,0,0,0,0,0,1.09,0,1.09,0,0
108-118,0,0.77,0,0,0,0,0,0,0,0,0.77,0.77,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0
