stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,28.32,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,135,68,0,4,0,0,0,0,1,14,0,0,0,0,0,0,98,0,0,52,109,0,0,2,1,0,7,1,6,2,3,39,66,0,0,44,0,0
 24-34,0,0,1.64,0.82,94.4,5.75,0,17.24,16.42,0,0,4.93,0,19.7,0.82,0,0.82,2.46,0.82,0.82,82.09,0.82,0.82,36.12,95.22,0,1.64,3.28,0,0,22.16,0,0,2.46,1.64,41.86,63.21,0,0,132.16,0,0
 36-46,0,0,0,0,14.5,0.81,0,16.11,17.72,0,0,0,0,18.53,0.81,0,0,0.81,0.81,0.81,56.4,0,1.61,15.31,47.53,0,0,0.81,0,0,10.47,0,0,0,8.06,1.61,13.7,0,0.81,48.34,0,0
 48-58,0,0,0,0,6.89,0,0,31.56,12.62,0,1.15,13.77,0,13.77,1.15,0,0,0.57,0,6.89,46.48,0.57,0.57,9.75,29.26,0,1.15,3.44,0,0,7.46,0,0,1.15,6.89,0,15.49,0,1.15,40.17,0,0.57
 60-70,0,0,0.98,0,2.94,0.98,0,69.69,11.78,0,0,36.32,0,9.82,0.98,0,0,0.98,0,1.96,44.17,0,0,4.91,36.32,0,0,1.96,0,0.98,4.91,0,0,0,2.94,0,30.43,0,3.93,44.17,3.93,0
 72-82,0,0,2.94,0,5.89,0.98,0,197.31,8.83,0.98,3.93,123.69,0.98,17.67,0.98,0,0.98,4.91,0,12.76,68.72,0,0.98,4.91,54.97,0,0,2.94,0,0,1.96,0,0,6.87,0,0,27.49,0,2.94,102.09,4.91,0
 84-94,0,0,0,0,3.19,0,0,116.82,6.37,0,0,69.03,2.12,11.68,8.5,0,0,3.19,0,20.18,54.16,0,2.12,6.37,24.43,0,1.06,6.37,0,1.06,7.43,0,0,6.37,3.19,0,18.05,0,5.31,88.15,15.93,1.06
 96-106,0,0,1.09,0,5.46,3.28,1.09,199.99,17.49,3.28,1.09,78.68,2.19,20.76,6.56,0,0,2.19,1.09,18.58,42.62,0,2.19,3.28,40.44,1.09,3.28,2.19,0,0,3.28,0,0,2.19,3.28,0,22.95,0,5.46,107.1,14.21,0
108-118,0,0,1.53,0,3.06,0,0,178.47,9.19,0.77,1.53,78.89,0,8.43,8.43,0.77,0,0,1.53,22.21,45.19,0.77,0,3.83,36,0,2.3,3.83,0,0.77,3.06,0,0,8.43,1.53,0,17.62,0.77,6.13,104.94,9.19,0.77
120,0,0,0,0,1.96,1.96,0,146.98,17.64,0,1.96,54.87,0,9.8,3.92,0,1.96,1.96,0,9.8,25.48,0,0,1.96,47.03,0,3.92,1.96,0,0,3.92,0,0,7.84,1.96,0,9.8,0,1.96,97.99,7.84,0
