stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,58,18,2,0,0,0,1,2,0,0,0,0,0,0,39,0,0,34,38,71,0,0,1,0,0,5,16,16,26,0,15,0,1
 24-34,0,0,0.82,28.73,6.57,7.39,0,0.82,0.82,1.64,0,0,8.21,0,0.82,0.82,0.82,105.07,0,0.82,57.46,48.43,37.76,0,0,0,0,0,31.19,1.64,1.64,3.28,0,60.74,0,1.64
 36-46,0,0,0,8.86,0,5.64,0,2.42,1.61,2.42,0,0,2.42,0,3.22,0,0,111.99,0,5.64,54.79,25.78,14.5,0,0.81,0,0,0.81,16.11,0,0,0.81,0.81,84.6,0,0
 48-58,0,0,0,2.87,0,8.03,0.57,4.02,5.74,2.87,0,0,1.72,0,1.72,0.57,0,144.03,0,13.77,40.74,25.82,5.16,0,0.57,0,0.57,0.57,5.74,0,0,2.3,2.3,107.88,0.57,0
 60-70,0,0,0,4.91,0.98,3.93,0,3.93,5.89,2.94,0,0,0,0,6.87,0,0,160.97,0,34.35,29.45,21.59,4.91,0.98,0,0,7.85,0.98,9.82,0,0,1.96,12.76,95.21,20.61,0
 72-82,0,0,0,1.96,0.98,11.78,7.85,0.98,18.65,11.78,0,0,3.93,0,8.83,0.98,0,204.19,0.98,33.38,31.41,29.45,0.98,0,2.94,0,5.89,0.98,8.83,0,0,1.96,26.5,211.06,63.81,0
 84-94,0,0,0,3.19,0,18.05,12.74,6.37,16.99,6.37,0,0,3.19,0,14.87,0,0,122.13,0,35.05,14.87,26.55,1.06,0,0,0,6.37,2.12,8.5,0,0,1.06,29.74,201.79,74.34,0
 96-106,0,0,0,3.28,2.19,14.21,24.04,7.65,12.02,27.32,1.09,0,5.46,1.09,27.32,0,0,150.81,0,36.06,13.11,18.58,5.46,0,2.19,0,16.39,0,2.19,0,0,1.09,26.23,250.26,103.82,1.09
108-118,0.77,0,0.77,3.06,0.77,8.43,10.72,5.36,7.66,8.43,0,0.77,2.3,0,36,0,0,118.72,0,16.85,13.79,19.92,3.83,0,0.77,0,16.09,0.77,1.53,0,0,0.77,15.32,190.72,60.51,0.77
120,0,0,0,9.8,0,3.92,3.92,5.88,7.84,5.88,0,0,7.84,0,15.68,0,0,68.59,0,7.84,7.84,15.68,1.96,0,0,0,9.8,1.96,3.92,0,0,0,17.64,168.54,78.39,0
