stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,slow.muscle,spinal.cord,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,17.24,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,65.26,0,0,0.81,0
 48-58,0,0,1.72,0,0,0,0,0,0,0,53.94,0,0,0,0
 60-70,0,0,2.94,0,0.98,0,0,0,0,0,115.82,0,0.98,0,0
 72-82,0,0,2.94,0,1.96,0,0,0,0,0,160.99,0,0,0.98,0.98
 84-94,0,2.12,6.37,1.06,4.25,0,1.06,1.06,1.06,1.06,88.15,0,0,0,0
 96-106,0,0,3.28,1.09,3.28,0,0,0,3.28,0,69.94,0,0,1.09,0
108-118,0,1.53,3.06,0,0,0.77,0,0,2.3,0,102.64,0,0,1.53,0
120,0,0,1.96,0,1.96,0,0,0,0,0,127.39,1.96,0,0,0
