stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,5.26,0,2.63,0,0,0,13.14,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,47.32,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.56,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,0,0,3,0,0,0,1,1,0,0,0,0,0,0,1,8,0,8,49,9,0,1,1,0,1,5,0,0,351,17,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,45.15,0.82,0.82,0,0.82,0,0,0.82,0,0,0,0,0.82,6.57,0,10.67,272.52,0.82,1.64,0.82,0,0,2.46,0,0.82,1.64,184.69,46.79,0,0,0,0,0
 36-46,0,0,0,0,2.42,0,0,640.51,1.61,0.81,0,11.28,0,0,0.81,0,0,0,0,0,10.47,2.42,12.09,628.42,0,0.81,1.61,0.81,0,0,0,1.61,0,5.64,76.54,0,0,0.81,0,0
 48-58,0,0,1.15,0,5.74,0.57,0,1101.13,2.87,1.72,1.15,44.18,0.57,0,0.57,0.57,1.15,0,0,0.57,23.53,1.72,16.64,833.74,1.72,1.15,1.72,0,2.3,2.3,0,0.57,0,0,82.63,0,0,0.57,0,0.57
 60-70,0,0,0.98,0,9.82,0.98,0,870.61,3.93,0.98,0,76.56,0,0,2.94,0,0,0,0,0,21.59,1.96,22.58,1012.93,0,0.98,2.94,0,0.98,2.94,0.98,1.96,0,0,53,0,0,0.98,0.98,0
 72-82,0,0,0,0,8.83,0.98,0,458.44,0.98,0,0,93.26,0,0,0.98,0,0,0,0,0.98,29.45,1.96,10.8,1070.99,0,2.94,2.94,0,2.94,0.98,0,0.98,0,0,55.95,0,0,2.94,1.96,0.98
 84-94,0,0,0,0,7.43,0,0,316.49,1.06,1.06,0,58.41,0,0,2.12,1.06,0,3.19,0,0,26.55,3.19,12.74,595.8,0,0,1.06,0,0,1.06,0,1.06,1.06,0,22.3,1.06,1.06,1.06,0,0
 96-106,0,0,1.09,0,10.93,1.09,1.09,240.43,2.19,2.19,0,79.78,2.19,0,3.28,1.09,0,0,0,2.19,25.14,2.19,13.11,515.82,0,2.19,2.19,0,1.09,2.19,0,2.19,0,0,21.86,0,1.09,1.09,1.09,0
108-118,0,0,0,0,7.66,2.3,0,216,0.77,0.77,0.77,55.92,1.53,0,1.53,0.77,2.3,0,0.77,0.77,22.98,3.06,15.32,590.56,0,0,3.06,0,2.3,1.53,0,0,0,0,9.96,0,0,1.53,0,0.77
120,0,0,0,0,3.92,0,0,227.34,1.96,0,1.96,68.59,0,0,1.96,0,0,0,0,0,13.72,0,13.72,660.45,1.96,1.96,3.92,0,1.96,7.84,0,0,0,0,11.76,0,1.96,3.92,0,0
