stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,immune,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,spinal.cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,5.75,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,5.74,0,0,0,0,1.15,0,0,0,0
 60-70,0,0,0,0,0,0,14.72,0,0,0,0,2.94,0,0,0.98,0
 72-82,0,0,2.94,0,0,0,11.78,0,0,0,0,0.98,0,0,0.98,0
 84-94,0,0,2.12,0,0,0,25.49,0,0,1.06,1.06,2.12,0,0,0,0
 96-106,0,1.09,0,1.09,0,0,27.32,0,2.19,0,0,4.37,0,1.09,0,1.09
108-118,0,0.77,2.3,0,0.77,1.53,29.11,0,0.77,0,0,3.06,0,0,0,0
120,0,7.84,1.96,0,0,1.96,54.87,1.96,0,0,0,0,1.96,0,0,0
