stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,2,0,3,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,2,0,4,14,0,0,0,0,1,2,0,6,3,0,0,1,0
 24-34,0.82,0,2.46,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0.82,2.46,0,0.82,17.24,0,0,0,1.64,0,0,0,0,4.1,0,0,0,0
 36-46,0.81,0,0.81,0,0,4.03,0.81,0.81,0.81,0,0,0,0,0,0,0,0,0.81,2.42,0,0,34.64,2.42,0,0,3.22,0,0,0,0,4.83,0,0,1.61,0
 48-58,2.3,0,0,0,0,11.48,0,0,1.15,0,0.57,0,0,0,0,0,0,1.72,4.59,0,0,76.32,1.15,0.57,0,1.15,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,49.08,0,0,0.98,0,0,0,0,0,0,0.98,0,0,5.89,0.98,2.94,53,0.98,0,0,0.98,0,0,0,0,1.96,0,0,0,0
 72-82,1.96,0,2.94,0.98,0,281.74,0,1.96,9.82,0.98,0,0.98,0,0,0.98,0.98,0,0,11.78,0,0.98,233.64,1.96,2.94,0,0,0,0,0,0,6.87,0,2.94,1.96,0.98
 84-94,1.06,0,1.06,0,0,191.17,0,0,7.43,1.06,0,1.06,0,0,0,1.06,0,1.06,14.87,1.06,1.06,101.96,0,6.37,0,0,0,0,1.06,0,4.25,1.06,0,3.19,1.06
 96-106,1.09,0,1.09,1.09,0,140.98,0,0,6.56,0,0,0,0,0,0,3.28,1.09,0,10.93,1.09,4.37,99.45,1.09,7.65,0,0,0,0,0,0,1.09,1.09,0,0,1.09
108-118,1.53,0.77,1.53,2.3,0.77,111.06,0.77,0,9.19,0,0,0,0.77,0,0,3.83,0,0.77,9.19,0,3.06,124.85,1.53,4.6,0.77,0,0,0,0.77,0,3.06,0.77,0,0,0.77
120,0,0,0,0,0,64.67,0,0,7.84,0,0,0,0,0,0,3.92,0,0,7.84,1.96,0,117.59,0,7.84,0,1.96,0,0,0,0,3.92,0,0,0,0
