stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,2,27,0,0,0,0,0,0,0,0,0,0,2,0,1,14,0,1,0,2,0,0,0,2,0,0,1,0,0
 24-34,0.82,2.46,0,136.26,0,0,0,0,0,0,0,0,0,0,0,0,0,33.66,0,18.88,0.82,0,0,0,0,4.93,0,0,4.1,0,0
 36-46,0,0,0,211.09,0.81,0,0,0,0.81,0,0,0,0,0,6.45,0,0.81,28.2,0,28.2,0,0,0,0.81,0,4.83,0,0,12.09,0,0
 48-58,0.57,1.15,0,448.14,1.15,6.89,0,0,0,0,0,0,0.57,0.57,8.03,0,1.72,47.05,0,9.75,0,0,0,0.57,0,6.89,0,0,16.64,0,0
 60-70,0,2.94,0,1064.95,0,26.5,0,0,0,0,0,0,0,0,13.74,2.94,3.93,49.08,0,9.82,1.96,0,0.98,2.94,0.98,5.89,0,0,14.72,0,0
 72-82,0.98,5.89,1.96,1239.84,0.98,70.68,0.98,0,0,0,0.98,1.96,0,0.98,13.74,2.94,0,78.53,0,26.5,1.96,0,0,1.96,0,5.89,0.98,0.98,32.39,2.94,1.96
 84-94,0,5.31,1.06,837.95,0,37.17,2.12,0,0,3.19,1.06,3.19,0,0,14.87,1.06,0,56.29,0,25.49,1.06,0,1.06,4.25,0,6.37,0,3.19,29.74,1.06,1.06
 96-106,0,6.56,1.09,653.52,0,52.46,2.19,0,1.09,0,1.09,0,2.19,0,14.21,1.09,1.09,46.99,0,39.34,0,0,0,3.28,0,3.28,0,1.09,34.97,4.37,0
108-118,0,4.6,2.3,556.09,0,44.43,0.77,0,0,0,1.53,0.77,0,0,4.6,0.77,0.77,71.23,0,21.45,1.53,0,5.36,0.77,0,0,0,0.77,16.85,0.77,0
120,0,11.76,1.96,452.71,0,39.2,1.96,0,0,5.88,1.96,1.96,0,0,7.84,1.96,3.92,58.79,3.92,11.76,1.96,0,1.96,0,1.96,1.96,0,0,11.76,0,0
