stage,axial,blastomeres,endocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,158.14,3676.64,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0
  5-6,79.69,1238.19,0,0,0,0,0,0,0,0,24.52,0,0,0,24.52,0,0,0,0,0
  7-9,5.26,2.63,0,2.63,0,0,0,5.26,0,0,49.95,2.63,0,21.03,0,7.89,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,18.88,0,0,6.29,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,0,2,0,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0,3.28,0,0,0,2.46,0,0,0.82,1.64,0
 36-46,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,0.57,0,0,0.57,0,4.02,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0.98,0,0,0,11.78,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0.98,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,1.96
 84-94,0,0,0,0,0,0,1.06,1.06,0,0,3.19,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,3.28,1.09,1.09,2.19,0,0,0,4.37,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,3.06,0,0,0.77,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
