stage,endocrine_pancreas,epidermis,eye,fast_muscle,glial,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,4,0
 24-34,0,0.82,2.46,0,0,0,0,0,0,0,0,13.13,0,0,0.82,3.28,0
 36-46,0,0.81,1.61,0,0.81,0,0,0,0.81,0,0,8.06,0,0,0,4.03,0
 48-58,0,0,4.02,0,0,0.57,0,0,1.15,0,0.57,11.48,0,0,0,2.87,0.57
 60-70,0,0,10.8,0,0.98,0.98,0,0,1.96,0,0,22.58,1.96,0,0,2.94,0
 72-82,0,0,9.82,0,6.87,0.98,0,0,2.94,0,0,34.36,0,0,0,5.89,0.98
 84-94,0,0,6.37,0,4.25,1.06,1.06,0,0,0,0,19.12,0,0,0,4.25,1.06
 96-106,0,0,6.56,0,3.28,1.09,0,0,0,0,0,4.37,0,0,0,2.19,0
108-118,0.77,0,2.3,0.77,5.36,0,0,0,2.3,0,0,7.66,0.77,0,0,0,0
120,0,0,9.8,0,0,0,0,0,3.92,1.96,0,39.2,1.96,0,0,1.96,0
