stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,3.15,0,0,107,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,202,43,0,4,0,3,0,21,26,0,0,1,0,0,0,0,42,3,0,22,62,41,0,0,195,0,5,653,2,3,121,479,0,0,3,0,0
 24-34,0,0,0,0,64.85,1.64,0,7.39,0.82,15.6,2.46,36.94,17.24,0,0,0,0,0,0,4.1,56.64,0,0,66.49,63.21,9.85,0,0,0,0,6.57,0.82,0.82,3.28,71.41,307,0,0,23.8,0,0
 36-46,0,0,0,0,8.86,0,0,7.25,3.22,14.5,8.86,23.36,5.64,0,0,0,0,0,0,2.42,99.1,0,2.42,78.96,63.65,2.42,1.61,0.81,0,0,5.64,0,0.81,4.83,0.81,485.82,0,0,11.28,0,4.03
 48-58,0,0,0,0,5.16,0,0,8.61,1.15,21.8,17.79,32.13,0.57,0.57,0.57,0,0.57,0.57,0,1.72,104.43,0.57,5.16,59.68,62.54,1.72,0,0.57,0,0,8.61,0,0,2.87,0,445.85,0,0,8.61,0,2.3
 60-70,0,0,0,0,5.89,1.96,0,14.72,0.98,19.63,26.5,18.65,2.94,0,0,0,0,0,0,0,84.41,0.98,6.87,31.41,47.11,1.96,0,1.96,0,0,14.72,0.98,0.98,0,0,372,0,0,3.93,1.96,2.94
 72-82,0,0,2.94,0,3.93,0,0,20.61,0.98,19.63,48.1,44.17,5.89,0,0,0,1.96,0,0,0.98,104.06,0.98,12.76,39.27,37.3,0.98,1.96,0,0,0,7.85,0,0,0,0,217.93,0.98,1.96,6.87,8.83,1.96
 84-94,0,0,2.12,0,13.81,1.06,0,32.92,0,35.05,29.74,42.48,12.74,0,1.06,0,0,0,0,1.06,75.4,0,21.24,28.68,29.74,1.06,0,0,0,1.06,25.49,0,4.25,0,0,142.31,0,1.06,11.68,11.68,2.12
 96-106,0,0,2.19,0,16.39,2.19,1.09,14.21,0,31.69,18.58,22.95,6.56,0,0,0,1.09,0,0,1.09,67.76,0,6.56,26.23,33.88,1.09,0,1.09,0,0,22.95,0,1.09,1.09,0,59.01,0,1.09,9.84,10.93,2.19
108-118,0,0,2.3,0,11.49,0,0,7.66,0.77,31.4,16.85,21.45,9.19,0,0,0.77,3.06,0,0.77,2.3,61.28,0.77,5.36,33.7,36.77,3.83,0,0.77,0,0,19.92,0,0.77,2.3,0,31.4,0,0.77,8.43,8.43,3.83
120,0,0,0,0,7.84,0,1.96,1.96,0,21.56,19.6,11.76,3.92,0,0,0,3.92,0,1.96,1.96,48.99,1.96,5.88,9.8,19.6,1.96,0,0,0,1.96,25.48,0,1.96,3.92,0,23.52,0,0,3.92,5.88,3.92
