stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,1,0,1,0,0,0,2,0,19,0,0,0,0,0,0,45,0,0,21,215,0,0,0,0,0,0,1,0,112,31,29,0,0,0,0
 24-34,0,0,2.46,2.46,0,1.64,0.82,0,0,9.03,0,9.85,0.82,0,0,0,0,0,9.03,0,0.82,12.31,381.7,0.82,0.82,1.64,0,0,0.82,0,0,27.09,16.42,39.4,0,0.82,0,0.82
 36-46,0,0,1.61,0,0,9.67,2.42,0.81,0,30.62,0,4.83,0.81,0,0,0,0,0.81,6.45,0,0,4.03,895.9,0,0,0,0,0,0,0,0,13.7,1.61,74.93,0,0,0,0.81
 48-58,0,0,1.72,0,0,41.89,0,0,0.57,83.2,0,5.16,0,0,0,0,0,0.57,9.18,0,0,3.44,1252.04,0.57,0.57,0.57,0,0,1.15,0,0,2.3,0,99.27,0,0,0,1.72
 60-70,0,1.96,0,0.98,0,73.61,6.87,0.98,0,170.78,0,1.96,0.98,0,0,0,0.98,0.98,11.78,0,0.98,3.93,1792.26,0,0,0,0,0,0,0,0.98,4.91,0,119.75,0,0.98,0,0
 72-82,0,0.98,8.83,2.94,0,138.41,8.83,0,0.98,250.32,0,0,0,0,0,0,1.96,0,20.61,0,0.98,3.93,1302.67,0,0,0.98,0,0.98,0.98,0,0,3.93,0,85.4,0.98,2.94,1.96,0.98
 84-94,0,0,12.74,6.37,0,122.13,13.81,1.06,2.12,185.86,0,2.12,1.06,0,1.06,0,0,0,21.24,0,0,8.5,800.78,0,2.12,1.06,0,1.06,5.31,0,0,18.05,0,62.66,0,0,2.12,0
 96-106,0,0,14.21,1.09,0,83.06,13.11,0,1.09,205.46,1.09,2.19,1.09,0,1.09,1.09,0,0,22.95,1.09,0,5.46,546.42,1.09,3.28,2.19,0,1.09,4.37,0,0,13.11,0,31.69,2.19,0,0,0
108-118,0,0,6.89,0.77,0.77,36,13.79,0.77,0.77,153.96,1.53,2.3,2.3,0.77,0.77,0,0,0,14.55,0,0.77,7.66,711.58,0,0.77,1.53,0,0.77,1.53,0,0,16.09,0,17.62,0,0.77,1.53,0
120,0,0,7.84,0,0,33.32,17.64,0,0,96.03,0,3.92,0,0,0,0,1.96,0,9.8,0,1.96,5.88,556.58,0,1.96,0,0,0,1.96,0,1.96,0,0,17.64,0,5.88,1.96,0
