stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,2,0,0,1,0,2,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,1,0,2,11,0,0,0,0,0
 24-34,0,0,0.82,2.46,0,1.64,0,0,0,0,0,2.46,0,0,0,111.64,0,0.82,0.82,0,0,0.82,0,0,0,28.73,0,0,1.64,0,0
 36-46,0,0,0,22.56,0,1.61,0,0,0,0,0,0.81,0,0,0.81,255.4,0,1.61,0,0,0,0,0,0,0,51.56,0,0,0,0,0
 48-58,0,1.15,0.57,89.51,0,9.18,0,0,0.57,0,0,5.16,0,0,1.15,302.4,0,0.57,0.57,0,0,0.57,0,0,0,44.18,0,0,0,0,0
 60-70,0,1.96,0,232.62,0,4.91,0,0.98,0,0,0,5.89,0,0,1.96,438.74,0,0,0,0,0.98,0,0,0,0,62.82,0,0,0.98,0,0
 72-82,0,2.94,0,205.17,0,8.83,0,0,0,0.98,0.98,13.74,0,0.98,0,297.44,0,0.98,0.98,0,0,0,0,0.98,0,24.54,0,0,0,0,1.96
 84-94,0,5.31,0,134.88,3.19,13.81,1.06,0,1.06,0,0,4.25,0,1.06,1.06,170.99,0,1.06,0,0,0,1.06,0,1.06,0,16.99,0,0,1.06,1.06,0
 96-106,1.09,1.09,1.09,81.96,0,9.84,0,0,0,0,1.09,6.56,0,0,1.09,113.66,0,2.19,0,0,0,0,0,0,0,3.28,1.09,0,0,0,0
108-118,0,1.53,0,43.66,0,5.36,0,0,0,0,0,4.6,0.77,0,0,104.17,0,0.77,0,0,0,0,0,0,0,2.3,0,0.77,0.77,0,0.77
120,1.96,3.92,1.96,54.87,0,0,0,0,0,0,1.96,3.92,0,0,1.96,164.62,1.96,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0
